LDEV_Read_Hit05.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:05:01X(X178-1)","00:05:02X(X182-1)","00:05:03X(X185-1)","00:05:04X(X177-1)","00:05:05X(X180-1)","00:05:06(11-8)","00:05:07X(X183-1)","00:05:0AX(X155-1)","00:05:0BX(X152-1)","00:05:0CX(X153-1)","00:05:0DX(X156-1)","00:05:0EX(X151-1)","00:05:0FX(X471-1)","00:05:10X(X537-1)","00:05:11X(X572-1)","00:05:12X(X605-1)","00:05:13X(X607-1)","00:05:16X(X93-1)","00:05:17X(X94-1)","00:05:18X(X42-1)","00:05:19X(X43-1)","00:05:1AX(X44-1)","00:05:1BX(X45-1)","00:05:20X(X61-1)","00:05:21X(X63-1)","00:05:25X(X95-1)","00:05:26X(X89-1)","00:05:27X(X53-1)","00:05:28X(X54-1)","00:05:29X(X59-1)","00:05:2AX(X60-1)","00:05:2BX(X82-1)","00:05:2CX(X83-1)","00:05:2DX(X84-1)","00:05:2EX(X85-1)","00:05:2FX(X86-1)","00:05:30X(X87-1)","00:05:31X(X88-1)","00:05:32X(X92-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,94,95,95,94,96,94,95,0,0,0,0,0
"8","2014/04/01 18:03",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,96,96,96,97,95,96,97,0,0,0,0,0
"9","2014/04/01 18:08",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,99,98,99,98,99,99,98,0,0,0,0,0
"10","2014/04/01 18:13",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,98,99,99,99,98,99,98,0,0,0,0,0
"11","2014/04/01 18:18",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,98,98,98,98,97,98,98,0,0,0,0,0
"12","2014/04/01 18:23",99,99,98,80,76,0,82,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,98,99,99,99,98,98,98,0,0,0,0,0
"13","2014/04/01 18:28",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,99,98,99,98,99,99,98,0,0,0,0,0
"14","2014/04/01 18:33",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,98,98,98,98,97,97,98,0,0,0,0,0
"15","2014/04/01 18:38",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,97,98,98,97,98,98,97,0,0,0,0,0
"16","2014/04/01 18:43",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,96,98,98,99,98,97,98,0,0,0,0,0
"17","2014/04/01 18:48",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,96,96,96,96,96,96,96,0,0,0,0,0
"18","2014/04/01 18:53",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,98,98,98,98,98,98,99,0,0,0,0,0
"19","2014/04/01 18:58",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,99,99,99,99,99,98,98,0,0,0,0,0
"20","2014/04/01 19:03",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,97,96,96,96,95,96,97,0,0,0,0,0
"21","2014/04/01 19:08",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,97,97,96,96,97,97,96,0,0,0,0,0
"22","2014/04/01 19:13",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,98,98,98,98,96,98,98,0,0,0,0,0
"23","2014/04/01 19:18",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,97,97,96,96,96,97,97,0,0,0,0,0
"24","2014/04/01 19:23",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,94,94,96,95,93,93,94,0,0,0,0,0
"25","2014/04/01 19:28",100,100,100,0,0,0,0,100,100,100,0,0,100,100,99,100,100,0,0,0,0,0,0,0,0,0,0,97,98,98,98,97,97,98,0,0,0,0,0
"26","2014/04/01 19:33",100,100,100,0,0,0,0,100,100,100,0,0,99,99,99,100,100,0,0,0,0,0,0,0,0,0,0,98,98,98,98,98,98,98,0,0,0,0,0
"27","2014/04/01 19:38",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,99,99,99,98,98,98,99,0,0,0,0,0
"28","2014/04/01 19:43",100,100,100,0,0,0,0,99,99,99,0,0,99,98,100,100,82,0,0,0,0,0,0,0,0,0,0,99,98,99,99,98,98,98,0,0,0,0,0
"29","2014/04/01 19:48",100,100,100,0,0,0,0,100,100,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,97,97,97,98,98,97,97,0,0,0,0,0
