PHY_Short_LDEV_7-5.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:FE:11","00:FE:12"
"1","2014/04/01 17:28",-4,-4
"2","2014/04/01 17:33",7,0
"3","2014/04/01 17:38",7,0
"4","2014/04/01 17:43",9,0
"5","2014/04/01 17:48",7,0
"6","2014/04/01 17:53",6,0
"7","2014/04/01 17:58",7,0
"8","2014/04/01 18:03",4,0
"9","2014/04/01 18:08",6,0
"10","2014/04/01 18:13",6,0
"11","2014/04/01 18:18",6,0
"12","2014/04/01 18:23",6,0
"13","2014/04/01 18:28",6,0
"14","2014/04/01 18:33",10,0
"15","2014/04/01 18:38",11,0
"16","2014/04/01 18:43",6,0
"17","2014/04/01 18:48",8,0
"18","2014/04/01 18:53",6,0
"19","2014/04/01 18:58",7,0
"20","2014/04/01 19:03",6,0
"21","2014/04/01 19:08",9,0
"22","2014/04/01 19:13",8,0
"23","2014/04/01 19:18",10,0
"24","2014/04/01 19:23",19,0
"25","2014/04/01 19:28",8,0
"26","2014/04/01 19:33",10,0
"27","2014/04/01 19:38",8,0
"28","2014/04/01 19:43",7,0
"29","2014/04/01 19:48",9,0
"30","2014/04/01 19:53",6,0
"31","2014/04/01 19:58",7,0
"32","2014/04/01 20:03",5,0
"33","2014/04/01 20:08",7,0
"34","2014/04/01 20:13",6,0
"35","2014/04/01 20:18",6,0
"36","2014/04/01 20:23",7,0
"37","2014/04/01 20:28",8,0
"38","2014/04/01 20:33",7,0
"39","2014/04/01 20:38",6,0
"40","2014/04/01 20:43",4,0
"41","2014/04/01 20:48",7,0
"42","2014/04/01 20:53",4,0
"43","2014/04/01 20:58",6,0
"44","2014/04/01 21:03",4,0
"45","2014/04/01 21:08",5,0
"46","2014/04/01 21:13",3,0
"47","2014/04/01 21:18",4,0
"48","2014/04/01 21:23",3,0
"49","2014/04/01 21:28",4,0
"50","2014/04/01 21:33",3,0
"51","2014/04/01 21:38",5,0
"52","2014/04/01 21:43",7,0
"53","2014/04/01 21:48",9,0
"54","2014/04/01 21:53",4,0
"55","2014/04/01 21:58",3,0
"56","2014/04/01 22:03",4,0
"57","2014/04/01 22:08",7,0
"58","2014/04/01 22:13",4,0
"59","2014/04/01 22:18",3,0
"60","2014/04/01 22:23",4,0
"61","2014/04/01 22:28",4,0
"62","2014/04/01 22:33",4,0
"63","2014/04/01 22:38",6,0
"64","2014/04/01 22:43",4,0
"65","2014/04/01 22:48",3,0
"66","2014/04/01 22:53",6,0
"67","2014/04/01 22:58",4,0
"68","2014/04/01 23:03",5,0
"69","2014/04/01 23:08",10,0
"70","2014/04/01 23:13",9,0
"71","2014/04/01 23:18",6,0
"72","2014/04/01 23:23",6,0
"73","2014/04/01 23:28",9,0
"74","2014/04/01 23:33",9,0
"75","2014/04/01 23:38",8,0
"76","2014/04/01 23:43",8,0
"77","2014/04/01 23:48",8,0
"78","2014/04/01 23:53",6,0
"79","2014/04/01 23:58",8,0
"80","2014/04/02 00:03",8,0
"81","2014/04/02 00:08",11,0
"82","2014/04/02 00:13",8,0
"83","2014/04/02 00:18",10,0
"84","2014/04/02 00:23",8,0
"85","2014/04/02 00:28",9,0
"86","2014/04/02 00:33",6,0
"87","2014/04/02 00:38",7,0
"88","2014/04/02 00:43",6,0
"89","2014/04/02 00:48",9,0
"90","2014/04/02 00:53",7,0
"91","2014/04/02 00:58",7,0
"92","2014/04/02 01:03",6,0
"93","2014/04/02 01:08",8,0
"94","2014/04/02 01:13",6,0
"95","2014/04/02 01:18",5,0
"96","2014/04/02 01:23",5,0
