LDEV_Write_IOPS_X12-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:82 X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",0
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",0
"5","2014/04/01 17:48",0
"6","2014/04/01 17:53",0
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",2
"9","2014/04/01 18:08",2
"10","2014/04/01 18:13",0
"11","2014/04/01 18:18",0
"12","2014/04/01 18:23",0
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",0
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",0
"17","2014/04/01 18:48",0
"18","2014/04/01 18:53",0
"19","2014/04/01 18:58",0
"20","2014/04/01 19:03",1
"21","2014/04/01 19:08",2
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",0
"24","2014/04/01 19:23",0
"25","2014/04/01 19:28",0
"26","2014/04/01 19:33",1
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",7
"29","2014/04/01 19:48",5
"30","2014/04/01 19:53",1
"31","2014/04/01 19:58",0
"32","2014/04/01 20:03",3
"33","2014/04/01 20:08",2
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",0
"36","2014/04/01 20:23",0
"37","2014/04/01 20:28",1
"38","2014/04/01 20:33",0
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",0
"41","2014/04/01 20:48",0
"42","2014/04/01 20:53",0
"43","2014/04/01 20:58",0
"44","2014/04/01 21:03",2
"45","2014/04/01 21:08",5
"46","2014/04/01 21:13",1
"47","2014/04/01 21:18",0
"48","2014/04/01 21:23",1
"49","2014/04/01 21:28",2
"50","2014/04/01 21:33",1
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",0
"53","2014/04/01 21:48",0
"54","2014/04/01 21:53",0
"55","2014/04/01 21:58",0
"56","2014/04/01 22:03",1
"57","2014/04/01 22:08",2
"58","2014/04/01 22:13",0
"59","2014/04/01 22:18",1
"60","2014/04/01 22:23",0
"61","2014/04/01 22:28",3
"62","2014/04/01 22:33",1
"63","2014/04/01 22:38",1
"64","2014/04/01 22:43",0
"65","2014/04/01 22:48",2
"66","2014/04/01 22:53",1
"67","2014/04/01 22:58",0
"68","2014/04/01 23:03",3
"69","2014/04/01 23:08",6
"70","2014/04/01 23:13",5
"71","2014/04/01 23:18",4
"72","2014/04/01 23:23",6
"73","2014/04/01 23:28",5
"74","2014/04/01 23:33",3
"75","2014/04/01 23:38",7
"76","2014/04/01 23:43",11
"77","2014/04/01 23:48",5
"78","2014/04/01 23:53",9
"79","2014/04/01 23:58",6
"80","2014/04/02 00:03",6
"81","2014/04/02 00:08",9
"82","2014/04/02 00:13",11
"83","2014/04/02 00:18",9
"84","2014/04/02 00:23",6
"85","2014/04/02 00:28",7
"86","2014/04/02 00:33",10
"87","2014/04/02 00:38",8
"88","2014/04/02 00:43",5
"89","2014/04/02 00:48",3
"90","2014/04/02 00:53",6
"91","2014/04/02 00:58",1
"92","2014/04/02 01:03",1
"93","2014/04/02 01:08",2
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",0
"96","2014/04/02 01:23",2
