LDEV_Write_Hit_X744-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:21:01 X"
"1","2014/04/01 17:28",90
"2","2014/04/01 17:33",86
"3","2014/04/01 17:38",91
"4","2014/04/01 17:43",87
"5","2014/04/01 17:48",89
"6","2014/04/01 17:53",89
"7","2014/04/01 17:58",85
"8","2014/04/01 18:03",80
"9","2014/04/01 18:08",67
"10","2014/04/01 18:13",83
"11","2014/04/01 18:18",87
"12","2014/04/01 18:23",84
"13","2014/04/01 18:28",85
"14","2014/04/01 18:33",86
"15","2014/04/01 18:38",84
"16","2014/04/01 18:43",79
"17","2014/04/01 18:48",85
"18","2014/04/01 18:53",84
"19","2014/04/01 18:58",85
"20","2014/04/01 19:03",81
"21","2014/04/01 19:08",77
"22","2014/04/01 19:13",84
"23","2014/04/01 19:18",83
"24","2014/04/01 19:23",82
"25","2014/04/01 19:28",82
"26","2014/04/01 19:33",79
"27","2014/04/01 19:38",90
"28","2014/04/01 19:43",63
"29","2014/04/01 19:48",66
"30","2014/04/01 19:53",76
"31","2014/04/01 19:58",82
"32","2014/04/01 20:03",76
"33","2014/04/01 20:08",76
"34","2014/04/01 20:13",78
"35","2014/04/01 20:18",80
"36","2014/04/01 20:23",77
"37","2014/04/01 20:28",75
"38","2014/04/01 20:33",78
"39","2014/04/01 20:38",86
"40","2014/04/01 20:43",82
"41","2014/04/01 20:48",85
"42","2014/04/01 20:53",81
"43","2014/04/01 20:58",87
"44","2014/04/01 21:03",77
"45","2014/04/01 21:08",79
"46","2014/04/01 21:13",79
"47","2014/04/01 21:18",81
"48","2014/04/01 21:23",85
"49","2014/04/01 21:28",84
"50","2014/04/01 21:33",86
"51","2014/04/01 21:38",92
"52","2014/04/01 21:43",91
"53","2014/04/01 21:48",91
"54","2014/04/01 21:53",90
"55","2014/04/01 21:58",98
"56","2014/04/01 22:03",100
"57","2014/04/01 22:08",100
"58","2014/04/01 22:13",100
"59","2014/04/01 22:18",66
"60","2014/04/01 22:23",100
"61","2014/04/01 22:28",100
"62","2014/04/01 22:33",100
"63","2014/04/01 22:38",100
"64","2014/04/01 22:43",100
"65","2014/04/01 22:48",0
"66","2014/04/01 22:53",0
"67","2014/04/01 22:58",0
"68","2014/04/01 23:03",0
"69","2014/04/01 23:08",100
"70","2014/04/01 23:13",0
"71","2014/04/01 23:18",0
"72","2014/04/01 23:23",0
"73","2014/04/01 23:28",0
"74","2014/04/01 23:33",0
"75","2014/04/01 23:38",100
"76","2014/04/01 23:43",0
"77","2014/04/01 23:48",0
"78","2014/04/01 23:53",0
"79","2014/04/01 23:58",0
"80","2014/04/02 00:03",0
"81","2014/04/02 00:08",100
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",0
"84","2014/04/02 00:23",0
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",0
"87","2014/04/02 00:38",100
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",0
"90","2014/04/02 00:53",0
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",0
"93","2014/04/02 01:08",100
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",0
"96","2014/04/02 01:23",0
