LDEV_Rnd_Read_IOPS_X615-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:81 X"
"1","2014/04/01 17:28",7
"2","2014/04/01 17:33",6
"3","2014/04/01 17:38",6
"4","2014/04/01 17:43",6
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",6
"7","2014/04/01 17:58",2
"8","2014/04/01 18:03",7
"9","2014/04/01 18:08",3
"10","2014/04/01 18:13",6
"11","2014/04/01 18:18",4
"12","2014/04/01 18:23",9
"13","2014/04/01 18:28",4
"14","2014/04/01 18:33",6
"15","2014/04/01 18:38",6
"16","2014/04/01 18:43",8
"17","2014/04/01 18:48",4
"18","2014/04/01 18:53",6
"19","2014/04/01 18:58",4
"20","2014/04/01 19:03",6
"21","2014/04/01 19:08",6
"22","2014/04/01 19:13",6
"23","2014/04/01 19:18",6
"24","2014/04/01 19:23",6
"25","2014/04/01 19:28",5
"26","2014/04/01 19:33",5
"27","2014/04/01 19:38",8
"28","2014/04/01 19:43",4
"29","2014/04/01 19:48",3
"30","2014/04/01 19:53",3
"31","2014/04/01 19:58",6
"32","2014/04/01 20:03",8
"33","2014/04/01 20:08",6
"34","2014/04/01 20:13",8
"35","2014/04/01 20:18",7
"36","2014/04/01 20:23",7
"37","2014/04/01 20:28",8
"38","2014/04/01 20:33",8
"39","2014/04/01 20:38",7
"40","2014/04/01 20:43",7
"41","2014/04/01 20:48",7
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",7
"45","2014/04/01 21:08",3
"46","2014/04/01 21:13",5
"47","2014/04/01 21:18",5
"48","2014/04/01 21:23",5
"49","2014/04/01 21:28",4
"50","2014/04/01 21:33",5
"51","2014/04/01 21:38",6
"52","2014/04/01 21:43",6
"53","2014/04/01 21:48",3
"54","2014/04/01 21:53",6
"55","2014/04/01 21:58",4
"56","2014/04/01 22:03",9
"57","2014/04/01 22:08",5
"58","2014/04/01 22:13",4
"59","2014/04/01 22:18",8
"60","2014/04/01 22:23",11
"61","2014/04/01 22:28",7
"62","2014/04/01 22:33",8
"63","2014/04/01 22:38",8
"64","2014/04/01 22:43",10
"65","2014/04/01 22:48",8
"66","2014/04/01 22:53",8
"67","2014/04/01 22:58",7
"68","2014/04/01 23:03",6
"69","2014/04/01 23:08",9
"70","2014/04/01 23:13",7
"71","2014/04/01 23:18",8
"72","2014/04/01 23:23",9
"73","2014/04/01 23:28",8
"74","2014/04/01 23:33",9
"75","2014/04/01 23:38",6
"76","2014/04/01 23:43",7
"77","2014/04/01 23:48",7
"78","2014/04/01 23:53",8
"79","2014/04/01 23:58",6
"80","2014/04/02 00:03",5
"81","2014/04/02 00:08",7
"82","2014/04/02 00:13",7
"83","2014/04/02 00:18",8
"84","2014/04/02 00:23",6
"85","2014/04/02 00:28",7
"86","2014/04/02 00:33",7
"87","2014/04/02 00:38",9
"88","2014/04/02 00:43",14
"89","2014/04/02 00:48",11
"90","2014/04/02 00:53",9
"91","2014/04/02 00:58",8
"92","2014/04/02 01:03",11
"93","2014/04/02 01:08",5
"94","2014/04/02 01:13",11
"95","2014/04/02 01:18",8
"96","2014/04/02 01:23",7
