LDEV_Rnd_Read_IOPS_X577-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:04 X"
"1","2014/04/01 17:28",8
"2","2014/04/01 17:33",7
"3","2014/04/01 17:38",6
"4","2014/04/01 17:43",7
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",7
"7","2014/04/01 17:58",2
"8","2014/04/01 18:03",7
"9","2014/04/01 18:08",4
"10","2014/04/01 18:13",7
"11","2014/04/01 18:18",4
"12","2014/04/01 18:23",8
"13","2014/04/01 18:28",5
"14","2014/04/01 18:33",7
"15","2014/04/01 18:38",7
"16","2014/04/01 18:43",10
"17","2014/04/01 18:48",5
"18","2014/04/01 18:53",7
"19","2014/04/01 18:58",5
"20","2014/04/01 19:03",7
"21","2014/04/01 19:08",7
"22","2014/04/01 19:13",7
"23","2014/04/01 19:18",7
"24","2014/04/01 19:23",8
"25","2014/04/01 19:28",6
"26","2014/04/01 19:33",6
"27","2014/04/01 19:38",10
"28","2014/04/01 19:43",5
"29","2014/04/01 19:48",4
"30","2014/04/01 19:53",4
"31","2014/04/01 19:58",8
"32","2014/04/01 20:03",9
"33","2014/04/01 20:08",8
"34","2014/04/01 20:13",9
"35","2014/04/01 20:18",9
"36","2014/04/01 20:23",10
"37","2014/04/01 20:28",10
"38","2014/04/01 20:33",9
"39","2014/04/01 20:38",9
"40","2014/04/01 20:43",9
"41","2014/04/01 20:48",9
"42","2014/04/01 20:53",9
"43","2014/04/01 20:58",9
"44","2014/04/01 21:03",9
"45","2014/04/01 21:08",4
"46","2014/04/01 21:13",7
"47","2014/04/01 21:18",6
"48","2014/04/01 21:23",6
"49","2014/04/01 21:28",5
"50","2014/04/01 21:33",6
"51","2014/04/01 21:38",7
"52","2014/04/01 21:43",8
"53","2014/04/01 21:48",4
"54","2014/04/01 21:53",7
"55","2014/04/01 21:58",5
"56","2014/04/01 22:03",9
"57","2014/04/01 22:08",7
"58","2014/04/01 22:13",6
"59","2014/04/01 22:18",10
"60","2014/04/01 22:23",12
"61","2014/04/01 22:28",7
"62","2014/04/01 22:33",7
"63","2014/04/01 22:38",10
"64","2014/04/01 22:43",11
"65","2014/04/01 22:48",11
"66","2014/04/01 22:53",8
"67","2014/04/01 22:58",8
"68","2014/04/01 23:03",8
"69","2014/04/01 23:08",8
"70","2014/04/01 23:13",8
"71","2014/04/01 23:18",10
"72","2014/04/01 23:23",7
"73","2014/04/01 23:28",8
"74","2014/04/01 23:33",8
"75","2014/04/01 23:38",7
"76","2014/04/01 23:43",8
"77","2014/04/01 23:48",9
"78","2014/04/01 23:53",7
"79","2014/04/01 23:58",7
"80","2014/04/02 00:03",6
"81","2014/04/02 00:08",8
"82","2014/04/02 00:13",5
"83","2014/04/02 00:18",7
"84","2014/04/02 00:23",9
"85","2014/04/02 00:28",9
"86","2014/04/02 00:33",11
"87","2014/04/02 00:38",8
"88","2014/04/02 00:43",13
"89","2014/04/02 00:48",13
"90","2014/04/02 00:53",9
"91","2014/04/02 00:58",10
"92","2014/04/02 01:03",12
"93","2014/04/02 01:08",7
"94","2014/04/02 01:13",11
"95","2014/04/02 01:18",9
"96","2014/04/02 01:23",6
