LDEV_Seq_Read_Hit16.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:16:00X(X154-1)","00:16:04X(X196-1)","00:16:05X(X654-1)","00:16:08X(X656-1)","00:16:0FX(X81-1)","00:16:10X(X192-1)","00:16:11X(X190-1)","00:16:12X(X193-1)","00:16:13(11-12)","00:16:14(11-13)","00:16:15(11-13)","00:16:16X(X670-1)","00:16:24X(X571-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,100,0,0,0,0,0,0,0,0,0,0,100
"8","2014/04/01 18:03",0,100,0,0,0,0,0,0,0,0,0,0,0
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,0,0,0,0
"10","2014/04/01 18:13",0,100,0,0,100,0,0,0,0,0,0,100,0
"11","2014/04/01 18:18",0,0,0,0,100,0,0,0,0,0,0,0,0
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2014/04/01 18:28",0,100,0,0,0,0,0,0,0,0,0,0,90
"14","2014/04/01 18:33",0,100,0,0,0,0,0,0,0,50,0,0,0
"15","2014/04/01 18:38",0,100,0,0,0,0,0,0,0,0,0,0,93
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2014/04/01 18:48",0,100,0,0,0,0,0,0,0,0,0,0,100
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,0,0,100,0
"19","2014/04/01 18:58",0,100,0,0,0,0,0,0,0,0,0,0,100
