RCLU_Asynchronous_Copy_Transfer.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","CL1-A.02(HiCommand_Server).0000","CL1-A.02(HiCommand_Server).0001","CL1-A.02(HiCommand_Server).0002","CL1-A.03(M60950-VMBFS-ag03ndcvh00027).0000","CL1-A.04(VMWare-AMD_Ent).0003","CL1-A.04(VMWare-AMD_Ent).0005","CL1-A.05(VMWARE-ENT-AMD).0025","CL1-A.05(VMWARE-ENT-AMD).0027","CL1-A.05(VMWARE-ENT-AMD).002A","CL1-A.05(VMWARE-ENT-AMD).002D","CL1-A.05(VMWARE-ENT-AMD).0031","CL3-A.02(L43130).0005","CL3-A.02(L43130).0016","CL3-A.02(L43130).0017","CL3-A.02(L43130).0018","CL3-A.03(L43129).0005","CL3-A.03(L43129).0016","CL3-A.03(L43129).0017","CL3-A.03(L43129).0018","CL3-A.05(L43123).0080","CL5-A.05(Windows_HTnM_Test).0000","CL5-A.08(L17571-ENT-ORA-PROD-NODE1).0006","CL5-A.08(L17571-ENT-ORA-PROD-NODE1).0007","CL5-A.08(L17571-ENT-ORA-PROD-NODE1).0009","CL5-A.08(L17571-ENT-ORA-PROD-NODE1).000C","CL7-A.01(K62393).0000","CL7-A.01(K62393).0003","CL7-A.01(K62393).0006","CL7-A.01(K62393).0007","CL7-A.01(K62393).0008","CL7-A.02(M24925-M24926).0000","CL7-A.02(M24925-M24926).0001","CL7-A.02(M24925-M24926).0002","CL7-A.02(M24925-M24926).0003","CL7-A.02(M24925-M24926).0004","CL7-A.02(M24925-M24926).0005","CL7-A.02(M24925-M24926).0006","CL7-A.02(M24925-M24926).0007","CL7-A.02(M24925-M24926).0008","CL7-A.02(M24925-M24926).0009","CL7-A.02(M24925-M24926).000A","CL7-A.02(M24925-M24926).000B","CL7-A.02(M24925-M24926).000C","CL7-A.02(M24925-M24926).000D","CL7-A.02(M24925-M24926).000E","CL7-A.02(M24925-M24926).000F","CL7-A.02(M24925-M24926).0010","CL7-A.02(M24925-M24926).0011","CL7-A.02(M24925-M24926).0012","CL7-A.02(M24925-M24926).0013","CL7-A.02(M24925-M24926).0014","CL7-A.02(M24925-M24926).0015","CL7-A.02(M24925-M24926).0016","CL7-A.02(M24925-M24926).0017","CL7-A.02(M24925-M24926).0018","CL7-A.02(M24925-M24926).0019","CL7-A.02(M24925-M24926).001A","CL7-A.02(M24925-M24926).001B","CL7-A.02(M24925-M24926).001C","CL7-A.02(M24925-M24926).001D","CL7-A.02(M24925-M24926).001E","CL7-A.02(M24925-M24926).001F","CL7-A.02(M24925-M24926).0020","CL7-A.02(M24925-M24926).0021","CL7-A.02(M24925-M24926).0022","CL7-A.02(M24925-M24926).0023","CL7-A.02(M24925-M24926).0024","CL7-A.02(M24925-M24926).0025","CL7-A.02(M24925-M24926).0026","CL7-A.02(M24925-M24926).0027","CL7-A.02(M24925-M24926).0028","CL7-A.02(M24925-M24926).0029","CL7-A.02(M24925-M24926).002A","CL7-A.02(M24925-M24926).002B","CL7-A.02(M24925-M24926).002C","CL7-A.03(K51599).0000","CL7-A.04(EDU_UNIX_CLUSTER).0000","CL7-A.04(EDU_UNIX_CLUSTER).0001","CL7-A.04(EDU_UNIX_CLUSTER).0002","CL7-A.04(EDU_UNIX_CLUSTER).0005","CL7-A.04(EDU_UNIX_CLUSTER).0006","CL7-A.05(NetBackup_Cluster).0000","CL7-A.06(L68747-SC).0000","CL7-A.06(L68747-SC).0001","CL7-A.06(L68747-SC).0002","CL1-B.02(L70135).0000","CL1-B.03(K99514).0000","CL1-B.04(L70573).0000","CL1-B.05(L70574).0001","CL1-B.08(M41164).0000","CL1-B.08(M41164).0001","CL1-B.08(M41164).0002","CL1-B.08(M41164).0003","CL1-B.08(M41164).0004","CL1-B.08(M41164).0005","CL1-B.08(M41164).0006","CL1-B.08(M41164).0007","CL1-B.08(M41164).0008","CL1-B.08(M41164).0009","CL1-B.08(M41164).000A","CL1-B.08(M41164).000B","CL1-B.0B(SQL_2008_Prod).0001","CL1-B.0B(SQL_2008_Prod).0002","CL1-B.0B(SQL_2008_Prod).0003","CL1-B.0B(SQL_2008_Prod).0006","CL1-B.0B(SQL_2008_Prod).000B","CL1-B.0B(SQL_2008_Prod).000C","CL1-B.0B(SQL_2008_Prod).0014","CL1-B.0B(SQL_2008_Prod).001B","CL1-B.0B(SQL_2008_Prod).001C","CL1-B.0B(SQL_2008_Prod).001D","CL1-B.0B(SQL_2008_Prod).001E","CL1-B.0B(SQL_2008_Prod).001F","CL1-B.0B(SQL_2008_Prod).0020","CL1-B.0B(SQL_2008_Prod).0021","CL1-B.0B(SQL_2008_Prod).0022","CL1-B.0B(SQL_2008_Prod).0023","CL1-B.0B(SQL_2008_Prod).0024","CL1-B.0B(SQL_2008_Prod).0025","CL1-B.0B(SQL_2008_Prod).0027","CL1-B.0B(SQL_2008_Prod).0028","CL1-B.0B(SQL_2008_Prod).0029","CL1-B.0C(SQL_2008_Test).0000","CL1-B.0C(SQL_2008_Test).0001","CL1-B.0C(SQL_2008_Test).0002","CL1-B.0C(SQL_2008_Test).0003","CL1-B.0C(SQL_2008_Test).0004","CL1-B.0C(SQL_2008_Test).0005"
"11","2014/04/01 18:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","2014/04/01 18:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","2014/04/01 18:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2014/04/01 18:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","2014/04/01 18:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","2014/04/01 18:53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","2014/04/01 19:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","2014/04/01 19:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","2014/04/01 19:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","2014/04/01 19:18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","2014/04/01 19:23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","2014/04/01 19:28",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","2014/04/01 19:33",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","2014/04/01 19:38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","2014/04/01 19:43",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2014/04/01 19:48",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5,-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
