LDEV_Rnd_Write_HitC8.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:00X(X754-1)","00:C8:01X(X760-1)","00:C8:02X(X763-1)","00:C8:03X(X762-1)","00:C8:04X(X755-1)","00:C8:05X(X750-1)","00:C8:06X(X1032-1)","00:C8:07X(X752-1)","00:C8:08X(X753-1)","00:C8:0CX(X758-1)","00:C8:0DX(X765-1)","00:C8:0EX(X751-1)","00:C8:0FX(X729-1)","00:C8:10X(X726-1)","00:C8:11X(X731-1)","00:C8:12X(X722-1)","00:C8:13X(X725-1)","00:C8:14X(X727-1)","00:C8:15X(X728-1)","00:C8:16X(X730-1)","00:C8:17X(X719-1)","00:C8:18X(X732-1)","00:C8:19X(X720-1)","00:C8:1AX(X718-1)","00:C8:1BX(X723-1)","00:C8:1CX(X724-1)","00:C8:1DX(X721-1)","00:C8:1EX(X693-1)","00:C8:1FX(X694-1)","00:C8:20X(X705-1)","00:C8:21X(X692-1)","00:C8:22X(X696-1)","00:C8:23X(X700-1)","00:C8:24X(X701-1)","00:C8:25X(X706-1)","00:C8:26X(X704-1)","00:C8:27X(X703-1)","00:C8:28X(X699-1)","00:C8:29X(X695-1)","00:C8:2AX(X702-1)","00:C8:2BX(X697-1)","00:C8:2CX(X698-1)","00:C8:2DX(X686-1)","00:C8:2EX(X678-1)","00:C8:2FX(X687-1)","00:C8:30X(X688-1)","00:C8:31X(X684-1)","00:C8:32X(X679-1)","00:C8:33X(X685-1)","00:C8:34X(X691-1)","00:C8:35X(X683-1)","00:C8:36X(X690-1)","00:C8:37X(X677-1)","00:C8:38X(X681-1)","00:C8:39X(X680-1)","00:C8:3AX(X689-1)","00:C8:3BX(X682-1)","00:C8:3CX(X645-1)","00:C8:3DX(X634-1)","00:C8:3EX(X636-1)","00:C8:3FX(X633-1)","00:C8:40X(X639-1)","00:C8:41X(X635-1)","00:C8:42X(X644-1)","00:C8:43X(X646-1)","00:C8:44X(X640-1)","00:C8:45X(X632-1)","00:C8:46X(X642-1)","00:C8:47X(X638-1)","00:C8:48X(X641-1)","00:C8:49X(X637-1)","00:C8:4AX(X643-1)","00:C8:4BX(X601-1)","00:C8:4CX(X442-1)","00:C8:4DX(X603-1)","00:C8:4EX(X598-1)","00:C8:4FX(X441-1)","00:C8:50X(X604-1)","00:C8:51X(X436-1)","00:C8:52X(X440-1)","00:C8:53X(X435-1)","00:C8:54X(X443-1)","00:C8:55X(X439-1)","00:C8:56X(X602-1)","00:C8:57X(X437-1)","00:C8:58X(X600-1)","00:C8:59X(X438-1)","00:C8:5AX(X742-1)","00:C8:5BX(X749-1)","00:C8:5CX(X739-1)","00:C8:5DX(X621-1)","00:C8:5EX(X738-1)","00:C8:5FX(X741-1)","00:C8:60X(X740-1)","00:C8:61X(X748-1)","00:C8:62X(X713-1)","00:C8:63X(X708-1)","00:C8:64X(X465-1)","00:C8:65X(X664-1)","00:C8:66X(X709-1)","00:C8:67X(X715-1)","00:C8:68X(X711-1)","00:C8:69X(X710-1)","00:C8:6AX(X676-1)","00:C8:6BX(X671-1)","00:C8:6CX(X663-1)","00:C8:6DX(X707-1)","00:C8:6EX(X662-1)","00:C8:6FX(X669-1)","00:C8:70X(X672-1)","00:C8:71X(X673-1)","00:C8:72X(X651-1)","00:C8:73X(X658-1)","00:C8:74X(X653-1)","00:C8:75X(X659-1)","00:C8:76X(X652-1)","00:C8:77X(X649-1)","00:C8:78X(X655-1)","00:C8:79X(X647-1)","00:C8:7AX(X619-1)","00:C8:7BX(X610-1)","00:C8:7CX(X618-1)","00:C8:7DX(X609-1)","00:C8:7EX(X613-1)","00:C8:7FX(X617-1)","00:C8:80X(X606-1)","00:C8:81X(X615-1)","00:C8:82X(X12-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",95,97,98,97,99,99,0,73,96,85,92,40,61,59,38,94,50,31,28,72,40,54,45,53,51,94,67,45,34,91,51,90,36,46,47,93,71,62,95,65,67,92,76,90,69,28,15,72,93,56,27,40,32,43,77,32,90,97,44,66,82,40,53,95,34,22,80,48,91,85,54,20,95,34,62,52,37,45,94,35,73,86,36,69,73,51,38,59,70,95,51,57,92,41,39,36,50,86,48,48,68,59,47,41,57,38,51,42,53,74,94,94,41,94,71,57,81,63,60,45,45,51,40,70,78,43,79,35
"8","2014/04/01 18:03",98,99,99,92,99,99,0,63,87,82,82,96,91,94,95,83,97,96,73,95,58,67,95,70,89,90,54,58,97,80,92,59,95,89,76,79,57,65,81,97,53,67,92,77,94,96,64,96,73,85,94,95,96,98,94,92,95,95,93,83,53,82,64,94,79,80,67,86,96,86,89,60,95,96,97,96,84,69,86,96,91,44,71,97,85,46,95,78,95,93,68,76,76,40,61,97,70,64,85,94,45,42,88,96,95,95,61,95,96,85,67,79,81,92,82,62,46,96,89,37,96,80,86,63,76,63,92,95
"9","2014/04/01 18:08",83,92,93,94,96,97,0,38,94,54,46,47,46,47,45,49,51,46,51,52,48,35,67,44,45,52,53,65,42,46,78,43,40,49,45,47,56,41,49,73,47,41,55,47,48,66,51,41,48,45,66,52,64,67,70,52,70,41,49,45,53,46,73,65,40,79,50,44,44,70,65,43,48,44,55,50,50,57,46,58,64,46,49,54,36,44,49,46,47,49,51,51,42,42,48,48,43,40,46,45,44,46,86,49,67,42,43,44,43,45,37,47,51,68,49,47,51,49,51,49,47,50,45,44,41,46,54,70
"10","2014/04/01 18:13",96,97,98,97,99,99,0,85,95,87,47,52,67,44,48,70,43,48,73,92,91,78,78,55,72,65,96,94,50,75,46,31,50,63,64,63,88,71,85,73,45,41,60,89,85,94,49,36,50,70,90,41,98,89,68,86,94,64,61,35,82,43,97,82,45,92,65,56,90,95,86,92,57,91,57,66,97,38,40,91,86,39,61,84,57,40,92,57,18,87,53,91,55,38,56,33,45,54,96,44,50,53,98,62,95,54,66,51,37,51,63,82,47,95,62,53,64,79,71,89,57,83,62,47,78,41,88,90
