LDEV_Seq_Read_Hit_X699-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:28 X"
"1","2014/04/01 17:28",95
"2","2014/04/01 17:33",97
"3","2014/04/01 17:38",97
"4","2014/04/01 17:43",97
"5","2014/04/01 17:48",93
"6","2014/04/01 17:53",95
"7","2014/04/01 17:58",97
"8","2014/04/01 18:03",96
"9","2014/04/01 18:08",96
"10","2014/04/01 18:13",96
"11","2014/04/01 18:18",93
"12","2014/04/01 18:23",95
"13","2014/04/01 18:28",90
"14","2014/04/01 18:33",95
"15","2014/04/01 18:38",94
"16","2014/04/01 18:43",97
"17","2014/04/01 18:48",96
"18","2014/04/01 18:53",96
"19","2014/04/01 18:58",96
"20","2014/04/01 19:03",94
"21","2014/04/01 19:08",96
"22","2014/04/01 19:13",96
"23","2014/04/01 19:18",96
"24","2014/04/01 19:23",96
"25","2014/04/01 19:28",95
"26","2014/04/01 19:33",95
"27","2014/04/01 19:38",94
"28","2014/04/01 19:43",65
"29","2014/04/01 19:48",65
"30","2014/04/01 19:53",72
"31","2014/04/01 19:58",88
"32","2014/04/01 20:03",94
"33","2014/04/01 20:08",94
"34","2014/04/01 20:13",95
"35","2014/04/01 20:18",95
"36","2014/04/01 20:23",96
"37","2014/04/01 20:28",95
"38","2014/04/01 20:33",94
"39","2014/04/01 20:38",96
"40","2014/04/01 20:43",96
"41","2014/04/01 20:48",94
"42","2014/04/01 20:53",97
"43","2014/04/01 20:58",92
"44","2014/04/01 21:03",95
"45","2014/04/01 21:08",92
"46","2014/04/01 21:13",93
"47","2014/04/01 21:18",85
"48","2014/04/01 21:23",87
"49","2014/04/01 21:28",90
"50","2014/04/01 21:33",86
"51","2014/04/01 21:38",88
"52","2014/04/01 21:43",90
"53","2014/04/01 21:48",85
"54","2014/04/01 21:53",89
"55","2014/04/01 21:58",79
"56","2014/04/01 22:03",88
"57","2014/04/01 22:08",85
"58","2014/04/01 22:13",88
"59","2014/04/01 22:18",91
"60","2014/04/01 22:23",93
"61","2014/04/01 22:28",91
"62","2014/04/01 22:33",88
"63","2014/04/01 22:38",89
"64","2014/04/01 22:43",93
"65","2014/04/01 22:48",94
"66","2014/04/01 22:53",91
"67","2014/04/01 22:58",91
"68","2014/04/01 23:03",90
"69","2014/04/01 23:08",90
"70","2014/04/01 23:13",93
"71","2014/04/01 23:18",89
"72","2014/04/01 23:23",90
"73","2014/04/01 23:28",91
"74","2014/04/01 23:33",92
"75","2014/04/01 23:38",92
"76","2014/04/01 23:43",93
"77","2014/04/01 23:48",93
"78","2014/04/01 23:53",93
"79","2014/04/01 23:58",95
"80","2014/04/02 00:03",94
"81","2014/04/02 00:08",93
"82","2014/04/02 00:13",94
"83","2014/04/02 00:18",93
"84","2014/04/02 00:23",95
"85","2014/04/02 00:28",93
"86","2014/04/02 00:33",94
"87","2014/04/02 00:38",94
"88","2014/04/02 00:43",95
"89","2014/04/02 00:48",96
"90","2014/04/02 00:53",94
"91","2014/04/02 00:58",95
"92","2014/04/02 01:03",94
"93","2014/04/02 01:08",87
"94","2014/04/02 01:13",92
"95","2014/04/02 01:18",92
"96","2014/04/02 01:23",94
