LDEV_Seq_Read_Hit_X680-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:39 X"
"1","2014/04/01 17:28",94
"2","2014/04/01 17:33",97
"3","2014/04/01 17:38",96
"4","2014/04/01 17:43",96
"5","2014/04/01 17:48",95
"6","2014/04/01 17:53",96
"7","2014/04/01 17:58",94
"8","2014/04/01 18:03",96
"9","2014/04/01 18:08",96
"10","2014/04/01 18:13",96
"11","2014/04/01 18:18",95
"12","2014/04/01 18:23",95
"13","2014/04/01 18:28",89
"14","2014/04/01 18:33",94
"15","2014/04/01 18:38",94
"16","2014/04/01 18:43",97
"17","2014/04/01 18:48",96
"18","2014/04/01 18:53",96
"19","2014/04/01 18:58",95
"20","2014/04/01 19:03",96
"21","2014/04/01 19:08",96
"22","2014/04/01 19:13",95
"23","2014/04/01 19:18",96
"24","2014/04/01 19:23",96
"25","2014/04/01 19:28",94
"26","2014/04/01 19:33",95
"27","2014/04/01 19:38",94
"28","2014/04/01 19:43",64
"29","2014/04/01 19:48",69
"30","2014/04/01 19:53",73
"31","2014/04/01 19:58",90
"32","2014/04/01 20:03",95
"33","2014/04/01 20:08",94
"34","2014/04/01 20:13",95
"35","2014/04/01 20:18",95
"36","2014/04/01 20:23",95
"37","2014/04/01 20:28",94
"38","2014/04/01 20:33",94
"39","2014/04/01 20:38",96
"40","2014/04/01 20:43",95
"41","2014/04/01 20:48",95
"42","2014/04/01 20:53",95
"43","2014/04/01 20:58",92
"44","2014/04/01 21:03",96
"45","2014/04/01 21:08",92
"46","2014/04/01 21:13",93
"47","2014/04/01 21:18",87
"48","2014/04/01 21:23",89
"49","2014/04/01 21:28",91
"50","2014/04/01 21:33",86
"51","2014/04/01 21:38",90
"52","2014/04/01 21:43",91
"53","2014/04/01 21:48",86
"54","2014/04/01 21:53",88
"55","2014/04/01 21:58",82
"56","2014/04/01 22:03",90
"57","2014/04/01 22:08",86
"58","2014/04/01 22:13",87
"59","2014/04/01 22:18",92
"60","2014/04/01 22:23",93
"61","2014/04/01 22:28",93
"62","2014/04/01 22:33",89
"63","2014/04/01 22:38",90
"64","2014/04/01 22:43",94
"65","2014/04/01 22:48",94
"66","2014/04/01 22:53",91
"67","2014/04/01 22:58",92
"68","2014/04/01 23:03",91
"69","2014/04/01 23:08",91
"70","2014/04/01 23:13",92
"71","2014/04/01 23:18",89
"72","2014/04/01 23:23",91
"73","2014/04/01 23:28",92
"74","2014/04/01 23:33",92
"75","2014/04/01 23:38",92
"76","2014/04/01 23:43",93
"77","2014/04/01 23:48",93
"78","2014/04/01 23:53",94
"79","2014/04/01 23:58",94
"80","2014/04/02 00:03",94
"81","2014/04/02 00:08",94
"82","2014/04/02 00:13",94
"83","2014/04/02 00:18",94
"84","2014/04/02 00:23",94
"85","2014/04/02 00:28",95
"86","2014/04/02 00:33",95
"87","2014/04/02 00:38",95
"88","2014/04/02 00:43",94
"89","2014/04/02 00:48",95
"90","2014/04/02 00:53",94
"91","2014/04/02 00:58",95
"92","2014/04/02 01:03",94
"93","2014/04/02 01:08",88
"94","2014/04/02 01:13",92
"95","2014/04/02 01:18",92
"96","2014/04/02 01:23",94
