LDEV_Seq_Read_Hit_X74-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:2C:3D X"
"1","2014/04/01 17:28",89
"2","2014/04/01 17:33",91
"3","2014/04/01 17:38",91
"4","2014/04/01 17:43",91
"5","2014/04/01 17:48",99
"6","2014/04/01 17:53",99
"7","2014/04/01 17:58",99
"8","2014/04/01 18:03",98
"9","2014/04/01 18:08",83
"10","2014/04/01 18:13",90
"11","2014/04/01 18:18",89
"12","2014/04/01 18:23",91
"13","2014/04/01 18:28",85
"14","2014/04/01 18:33",84
"15","2014/04/01 18:38",89
"16","2014/04/01 18:43",98
"17","2014/04/01 18:48",85
"18","2014/04/01 18:53",85
"19","2014/04/01 18:58",89
"20","2014/04/01 19:03",87
"21","2014/04/01 19:08",86
"22","2014/04/01 19:13",89
"23","2014/04/01 19:18",90
"24","2014/04/01 19:23",91
"25","2014/04/01 19:28",98
"26","2014/04/01 19:33",81
"27","2014/04/01 19:38",85
"28","2014/04/01 19:43",82
"29","2014/04/01 19:48",84
"30","2014/04/01 19:53",83
"31","2014/04/01 19:58",92
"32","2014/04/01 20:03",92
"33","2014/04/01 20:08",88
"34","2014/04/01 20:13",92
"35","2014/04/01 20:18",98
"36","2014/04/01 20:23",98
"37","2014/04/01 20:28",97
"38","2014/04/01 20:33",94
"39","2014/04/01 20:38",95
"40","2014/04/01 20:43",83
"41","2014/04/01 20:48",84
"42","2014/04/01 20:53",84
"43","2014/04/01 20:58",97
"44","2014/04/01 21:03",96
"45","2014/04/01 21:08",99
"46","2014/04/01 21:13",91
"47","2014/04/01 21:18",84
"48","2014/04/01 21:23",84
"49","2014/04/01 21:28",88
"50","2014/04/01 21:33",89
"51","2014/04/01 21:38",97
"52","2014/04/01 21:43",95
"53","2014/04/01 21:48",99
"54","2014/04/01 21:53",85
"55","2014/04/01 21:58",98
"56","2014/04/01 22:03",94
"57","2014/04/01 22:08",87
"58","2014/04/01 22:13",98
"59","2014/04/01 22:18",99
"60","2014/04/01 22:23",92
"61","2014/04/01 22:28",99
"62","2014/04/01 22:33",95
"63","2014/04/01 22:38",96
"64","2014/04/01 22:43",96
"65","2014/04/01 22:48",0
"66","2014/04/01 22:53",0
"67","2014/04/01 22:58",0
"68","2014/04/01 23:03",0
"69","2014/04/01 23:08",0
"70","2014/04/01 23:13",0
"71","2014/04/01 23:18",0
"72","2014/04/01 23:23",0
"73","2014/04/01 23:28",0
"74","2014/04/01 23:33",0
"75","2014/04/01 23:38",0
"76","2014/04/01 23:43",0
"77","2014/04/01 23:48",0
"78","2014/04/01 23:53",0
"79","2014/04/01 23:58",0
"80","2014/04/02 00:03",0
"81","2014/04/02 00:08",0
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",0
"84","2014/04/02 00:23",0
"85","2014/04/02 00:28",0
"86","2014/04/02 00:33",0
"87","2014/04/02 00:38",0
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",0
"90","2014/04/02 00:53",0
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",0
"93","2014/04/02 01:08",0
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",0
"96","2014/04/02 01:23",0
