LDEV_Read_IOPS_X67-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:5A:FF X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",2
"3","2014/04/01 17:38",4
"4","2014/04/01 17:43",0
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",1
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",1
"9","2014/04/01 18:08",2
"10","2014/04/01 18:13",0
"11","2014/04/01 18:18",1
"12","2014/04/01 18:23",1
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",1
"15","2014/04/01 18:38",1
"16","2014/04/01 18:43",0
"17","2014/04/01 18:48",1
"18","2014/04/01 18:53",0
"19","2014/04/01 18:58",1
"20","2014/04/01 19:03",1
"21","2014/04/01 19:08",2
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",2
"24","2014/04/01 19:23",0
"25","2014/04/01 19:28",1
"26","2014/04/01 19:33",1
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",2
"29","2014/04/01 19:48",3
"30","2014/04/01 19:53",0
"31","2014/04/01 19:58",1
"32","2014/04/01 20:03",1
"33","2014/04/01 20:08",0
"34","2014/04/01 20:13",2
"35","2014/04/01 20:18",2
"36","2014/04/01 20:23",0
"37","2014/04/01 20:28",2
"38","2014/04/01 20:33",0
"39","2014/04/01 20:38",1
"40","2014/04/01 20:43",2
"41","2014/04/01 20:48",0
"42","2014/04/01 20:53",2
"43","2014/04/01 20:58",1
"44","2014/04/01 21:03",0
"45","2014/04/01 21:08",2
"46","2014/04/01 21:13",2
"47","2014/04/01 21:18",0
"48","2014/04/01 21:23",1
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",2
"51","2014/04/01 21:38",1
"52","2014/04/01 21:43",0
"53","2014/04/01 21:48",1
"54","2014/04/01 21:53",1
"55","2014/04/01 21:58",0
"56","2014/04/01 22:03",1
"57","2014/04/01 22:08",1
"58","2014/04/01 22:13",0
"59","2014/04/01 22:18",4
"60","2014/04/01 22:23",1
"61","2014/04/01 22:28",0
"62","2014/04/01 22:33",2
"63","2014/04/01 22:38",0
"64","2014/04/01 22:43",2
"65","2014/04/01 22:48",1
"66","2014/04/01 22:53",0
"67","2014/04/01 22:58",2
"68","2014/04/01 23:03",1
"69","2014/04/01 23:08",3
"70","2014/04/01 23:13",4
"71","2014/04/01 23:18",1
"72","2014/04/01 23:23",1
"73","2014/04/01 23:28",0
"74","2014/04/01 23:33",2
"75","2014/04/01 23:38",1
"76","2014/04/01 23:43",0
"77","2014/04/01 23:48",1
"78","2014/04/01 23:53",2
"79","2014/04/01 23:58",0
"80","2014/04/02 00:03",1
"81","2014/04/02 00:08",1
"82","2014/04/02 00:13",0
"83","2014/04/02 00:18",2
"84","2014/04/02 00:23",0
"85","2014/04/02 00:28",1
"86","2014/04/02 00:33",2
"87","2014/04/02 00:38",0
"88","2014/04/02 00:43",1
"89","2014/04/02 00:48",0
"90","2014/04/02 00:53",1
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",1
"93","2014/04/02 01:08",1
"94","2014/04/02 01:13",0
"95","2014/04/02 01:18",1
"96","2014/04/02 01:23",2
