LDEV_Read_IOPS_X295-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:1C X"
"1","2014/04/01 17:28",4
"2","2014/04/01 17:33",5
"3","2014/04/01 17:38",4
"4","2014/04/01 17:43",7
"5","2014/04/01 17:48",8
"6","2014/04/01 17:53",7
"7","2014/04/01 17:58",5
"8","2014/04/01 18:03",10
"9","2014/04/01 18:08",4
"10","2014/04/01 18:13",5
"11","2014/04/01 18:18",6
"12","2014/04/01 18:23",5
"13","2014/04/01 18:28",4
"14","2014/04/01 18:33",4
"15","2014/04/01 18:38",4
"16","2014/04/01 18:43",11
"17","2014/04/01 18:48",6
"18","2014/04/01 18:53",6
"19","2014/04/01 18:58",6
"20","2014/04/01 19:03",11
"21","2014/04/01 19:08",4
"22","2014/04/01 19:13",5
"23","2014/04/01 19:18",7
"24","2014/04/01 19:23",6
"25","2014/04/01 19:28",4
"26","2014/04/01 19:33",17
"27","2014/04/01 19:38",5
"28","2014/04/01 19:43",5
"29","2014/04/01 19:48",10
"30","2014/04/01 19:53",14
"31","2014/04/01 19:58",7
"32","2014/04/01 20:03",10
"33","2014/04/01 20:08",6
"34","2014/04/01 20:13",4
"35","2014/04/01 20:18",6
"36","2014/04/01 20:23",6
"37","2014/04/01 20:28",6
"38","2014/04/01 20:33",7
"39","2014/04/01 20:38",5
"40","2014/04/01 20:43",4
"41","2014/04/01 20:48",7
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",8
"45","2014/04/01 21:08",5
"46","2014/04/01 21:13",5
"47","2014/04/01 21:18",6
"48","2014/04/01 21:23",14
"49","2014/04/01 21:28",4
"50","2014/04/01 21:33",6
"51","2014/04/01 21:38",5
"52","2014/04/01 21:43",7
"53","2014/04/01 21:48",5
"54","2014/04/01 21:53",7
"55","2014/04/01 21:58",7
"56","2014/04/01 22:03",21
"57","2014/04/01 22:08",26
"58","2014/04/01 22:13",30
"59","2014/04/01 22:18",22
"60","2014/04/01 22:23",29
"61","2014/04/01 22:28",23
"62","2014/04/01 22:33",45
"63","2014/04/01 22:38",24
"64","2014/04/01 22:43",44
"65","2014/04/01 22:48",50
"66","2014/04/01 22:53",50
"67","2014/04/01 22:58",41
"68","2014/04/01 23:03",40
"69","2014/04/01 23:08",36
"70","2014/04/01 23:13",33
"71","2014/04/01 23:18",38
"72","2014/04/01 23:23",42
"73","2014/04/01 23:28",36
"74","2014/04/01 23:33",34
"75","2014/04/01 23:38",36
"76","2014/04/01 23:43",30
"77","2014/04/01 23:48",27
"78","2014/04/01 23:53",31
"79","2014/04/01 23:58",21
"80","2014/04/02 00:03",25
"81","2014/04/02 00:08",13
"82","2014/04/02 00:13",20
"83","2014/04/02 00:18",14
"84","2014/04/02 00:23",19
"85","2014/04/02 00:28",16
"86","2014/04/02 00:33",10
"87","2014/04/02 00:38",4
"88","2014/04/02 00:43",6
"89","2014/04/02 00:48",10
"90","2014/04/02 00:53",12
"91","2014/04/02 00:58",12
"92","2014/04/02 01:03",20
"93","2014/04/02 01:08",9
"94","2014/04/02 01:13",7
"95","2014/04/02 01:18",9
"96","2014/04/02 01:23",9
