LDEV_Read_IOPS_X609-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:7D X"
"1","2014/04/01 17:28",12
"2","2014/04/01 17:33",11
"3","2014/04/01 17:38",10
"4","2014/04/01 17:43",10
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",9
"7","2014/04/01 17:58",3
"8","2014/04/01 18:03",11
"9","2014/04/01 18:08",6
"10","2014/04/01 18:13",10
"11","2014/04/01 18:18",5
"12","2014/04/01 18:23",12
"13","2014/04/01 18:28",4
"14","2014/04/01 18:33",9
"15","2014/04/01 18:38",9
"16","2014/04/01 18:43",12
"17","2014/04/01 18:48",7
"18","2014/04/01 18:53",11
"19","2014/04/01 18:58",5
"20","2014/04/01 19:03",8
"21","2014/04/01 19:08",13
"22","2014/04/01 19:13",14
"23","2014/04/01 19:18",12
"24","2014/04/01 19:23",11
"25","2014/04/01 19:28",12
"26","2014/04/01 19:33",9
"27","2014/04/01 19:38",15
"28","2014/04/01 19:43",7
"29","2014/04/01 19:48",7
"30","2014/04/01 19:53",7
"31","2014/04/01 19:58",9
"32","2014/04/01 20:03",13
"33","2014/04/01 20:08",10
"34","2014/04/01 20:13",13
"35","2014/04/01 20:18",12
"36","2014/04/01 20:23",13
"37","2014/04/01 20:28",13
"38","2014/04/01 20:33",13
"39","2014/04/01 20:38",12
"40","2014/04/01 20:43",13
"41","2014/04/01 20:48",11
"42","2014/04/01 20:53",12
"43","2014/04/01 20:58",12
"44","2014/04/01 21:03",11
"45","2014/04/01 21:08",7
"46","2014/04/01 21:13",9
"47","2014/04/01 21:18",9
"48","2014/04/01 21:23",9
"49","2014/04/01 21:28",8
"50","2014/04/01 21:33",8
"51","2014/04/01 21:38",9
"52","2014/04/01 21:43",11
"53","2014/04/01 21:48",5
"54","2014/04/01 21:53",9
"55","2014/04/01 21:58",7
"56","2014/04/01 22:03",15
"57","2014/04/01 22:08",13
"58","2014/04/01 22:13",14
"59","2014/04/01 22:18",17
"60","2014/04/01 22:23",27
"61","2014/04/01 22:28",21
"62","2014/04/01 22:33",15
"63","2014/04/01 22:38",17
"64","2014/04/01 22:43",23
"65","2014/04/01 22:48",20
"66","2014/04/01 22:53",17
"67","2014/04/01 22:58",15
"68","2014/04/01 23:03",14
"69","2014/04/01 23:08",19
"70","2014/04/01 23:13",16
"71","2014/04/01 23:18",21
"72","2014/04/01 23:23",16
"73","2014/04/01 23:28",17
"74","2014/04/01 23:33",19
"75","2014/04/01 23:38",19
"76","2014/04/01 23:43",19
"77","2014/04/01 23:48",21
"78","2014/04/01 23:53",17
"79","2014/04/01 23:58",20
"80","2014/04/02 00:03",21
"81","2014/04/02 00:08",18
"82","2014/04/02 00:13",21
"83","2014/04/02 00:18",16
"84","2014/04/02 00:23",19
"85","2014/04/02 00:28",25
"86","2014/04/02 00:33",26
"87","2014/04/02 00:38",19
"88","2014/04/02 00:43",24
"89","2014/04/02 00:48",22
"90","2014/04/02 00:53",21
"91","2014/04/02 00:58",21
"92","2014/04/02 01:03",19
"93","2014/04/02 01:08",11
"94","2014/04/02 01:13",20
"95","2014/04/02 01:18",22
"96","2014/04/02 01:23",18
