LDEV_Seq_Write_HitF0.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:00X(X175-1)","00:F0:01X(X5-1)","00:F0:02X(X391-1)","00:F0:03X(X270-1)","00:F0:1AX(X450-1)","00:F0:59X(X369-1)","00:F0:67X(X484-1)","00:F0:68X(X485-1)","00:F0:69X(X486-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,100,0,0,99,99,99
"8","2014/04/01 18:03",0,0,0,100,0,0,100,100,100
"9","2014/04/01 18:08",0,0,0,100,0,0,99,99,99
"10","2014/04/01 18:13",0,0,0,100,0,0,100,100,100
"11","2014/04/01 18:18",0,0,0,100,0,0,99,100,100
"12","2014/04/01 18:23",0,0,0,100,0,0,100,100,99
"13","2014/04/01 18:28",0,0,0,100,0,0,98,98,98
"14","2014/04/01 18:33",0,0,0,0,0,0,98,98,98
"15","2014/04/01 18:38",0,0,0,0,0,0,99,99,99
"16","2014/04/01 18:43",100,0,0,0,0,0,100,99,100
"17","2014/04/01 18:48",100,0,0,0,0,0,97,97,97
"18","2014/04/01 18:53",100,0,0,0,0,0,93,90,96
"19","2014/04/01 18:58",100,0,0,0,0,0,100,100,100
"20","2014/04/01 19:03",100,0,0,0,0,0,0,0,90
"21","2014/04/01 19:08",100,0,0,0,0,0,100,100,95
"22","2014/04/01 19:13",100,0,0,0,0,0,0,0,0
"23","2014/04/01 19:18",100,0,0,0,0,0,100,99,100
"24","2014/04/01 19:23",0,0,0,0,0,0,99,99,100
"25","2014/04/01 19:28",0,0,0,0,0,0,99,99,99
"26","2014/04/01 19:33",0,0,0,0,0,0,99,99,99
"27","2014/04/01 19:38",0,0,0,100,0,0,99,100,99
"28","2014/04/01 19:43",0,0,100,0,0,0,100,100,99
"29","2014/04/01 19:48",0,0,0,0,0,0,97,98,97
"30","2014/04/01 19:53",0,0,0,0,0,0,99,100,99
"31","2014/04/01 19:58",0,0,0,0,0,0,99,100,100
"32","2014/04/01 20:03",0,0,0,0,0,0,100,100,99
"33","2014/04/01 20:08",0,0,0,0,0,0,98,88,100
"34","2014/04/01 20:13",0,0,0,0,0,0,98,0,0
"35","2014/04/01 20:18",100,0,0,0,0,0,0,0,0
"36","2014/04/01 20:23",0,0,0,0,0,0,0,88,0
