LDEV_TransRate_X194-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:48 X"
"1","2014/04/01 17:28",3
"2","2014/04/01 17:33",2
"3","2014/04/01 17:38",2
"4","2014/04/01 17:43",2
"5","2014/04/01 17:48",3
"6","2014/04/01 17:53",3
"7","2014/04/01 17:58",3
"8","2014/04/01 18:03",2
"9","2014/04/01 18:08",3
"10","2014/04/01 18:13",2
"11","2014/04/01 18:18",3
"12","2014/04/01 18:23",3
"13","2014/04/01 18:28",3
"14","2014/04/01 18:33",3
"15","2014/04/01 18:38",3
"16","2014/04/01 18:43",3
"17","2014/04/01 18:48",3
"18","2014/04/01 18:53",3
"19","2014/04/01 18:58",3
"20","2014/04/01 19:03",2
"21","2014/04/01 19:08",2
"22","2014/04/01 19:13",2
"23","2014/04/01 19:18",3
"24","2014/04/01 19:23",2
"25","2014/04/01 19:28",2
"26","2014/04/01 19:33",2
"27","2014/04/01 19:38",2
"28","2014/04/01 19:43",2
"29","2014/04/01 19:48",2
"30","2014/04/01 19:53",2
"31","2014/04/01 19:58",3
"32","2014/04/01 20:03",3
"33","2014/04/01 20:08",2
"34","2014/04/01 20:13",2
"35","2014/04/01 20:18",3
"36","2014/04/01 20:23",2
"37","2014/04/01 20:28",3
"38","2014/04/01 20:33",2
"39","2014/04/01 20:38",3
"40","2014/04/01 20:43",3
"41","2014/04/01 20:48",3
"42","2014/04/01 20:53",3
"43","2014/04/01 20:58",3
"44","2014/04/01 21:03",3
"45","2014/04/01 21:08",3
"46","2014/04/01 21:13",2
"47","2014/04/01 21:18",2
"48","2014/04/01 21:23",2
"49","2014/04/01 21:28",4
"50","2014/04/01 21:33",3
"51","2014/04/01 21:38",3
"52","2014/04/01 21:43",2
"53","2014/04/01 21:48",2
"54","2014/04/01 21:53",2
"55","2014/04/01 21:58",2
"56","2014/04/01 22:03",2
"57","2014/04/01 22:08",3
"58","2014/04/01 22:13",3
"59","2014/04/01 22:18",3
"60","2014/04/01 22:23",3
"61","2014/04/01 22:28",3
"62","2014/04/01 22:33",3
"63","2014/04/01 22:38",3
"64","2014/04/01 22:43",2
"65","2014/04/01 22:48",3
"66","2014/04/01 22:53",2
"67","2014/04/01 22:58",2
"68","2014/04/01 23:03",3
"69","2014/04/01 23:08",3
"70","2014/04/01 23:13",2
"71","2014/04/01 23:18",2
"72","2014/04/01 23:23",2
"73","2014/04/01 23:28",2
"74","2014/04/01 23:33",3
"75","2014/04/01 23:38",2
"76","2014/04/01 23:43",3
"77","2014/04/01 23:48",2
"78","2014/04/01 23:53",2
"79","2014/04/01 23:58",3
"80","2014/04/02 00:03",3
"81","2014/04/02 00:08",3
"82","2014/04/02 00:13",2
"83","2014/04/02 00:18",3
"84","2014/04/02 00:23",2
"85","2014/04/02 00:28",2
"86","2014/04/02 00:33",2
"87","2014/04/02 00:38",3
"88","2014/04/02 00:43",3
"89","2014/04/02 00:48",3
"90","2014/04/02 00:53",2
"91","2014/04/02 00:58",3
"92","2014/04/02 01:03",3
"93","2014/04/02 01:08",2
"94","2014/04/02 01:13",3
"95","2014/04/02 01:18",2
"96","2014/04/02 01:23",3
