LDEV_BackTrans50.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:00X(X297-1)","00:50:01X(X1021-1)","00:50:02X(X1022-1)","00:50:03X(X1023-1)","00:50:04X(X1024-1)","00:50:05X(X1025-1)","00:50:06X(X1026-1)","00:50:07X(X1027-1)","00:50:08X(X1028-1)","00:50:09X(X1029-1)","00:50:0AX(X1030-1)","00:50:0BX(X1031-1)","00:50:0DX(X15-1)","00:50:0EX(X272-1)","00:50:10X(X250-1)","00:50:11X(X273-1)","00:50:12X(X284-1)","00:50:13X(X285-1)","00:50:14X(X286-1)","00:50:15X(X287-1)","00:50:16X(X288-1)","00:50:17X(X289-1)","00:50:18X(X291-1)","00:50:19X(X292-1)","00:50:1AX(X293-1)","00:50:1BX(X294-1)","00:50:1CX(X295-1)","00:50:1DX(X296-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,0,0,0,60,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","2014/04/01 18:03",0,0,0,0,0,0,0,0,0,0,0,0,74,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,0,0,0,101,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","2014/04/01 18:18",0,1,1,1,1,1,1,1,1,0,0,0,64,0,1,1,1,1,1,1,1,1,1,1,1,2,1,0
"12","2014/04/01 18:23",0,1,1,1,1,1,1,1,1,0,0,0,75,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"13","2014/04/01 18:28",0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","2014/04/01 18:33",0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","2014/04/01 18:38",0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","2014/04/01 18:43",0,0,0,0,0,0,0,0,0,0,0,0,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
"17","2014/04/01 18:48",0,0,1,1,1,1,1,1,1,0,0,0,152,0,5,1,1,1,1,1,1,1,1,1,1,1,1,0
"18","2014/04/01 18:53",0,1,1,1,1,1,1,1,1,0,0,0,38,0,3,1,1,1,1,1,1,1,1,1,1,1,1,0
"19","2014/04/01 18:58",0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","2014/04/01 19:03",0,0,0,0,0,0,0,0,0,0,0,0,41,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","2014/04/01 19:08",0,0,0,0,0,0,0,0,0,0,0,0,46,0,1,1,1,1,0,1,0,0,0,1,0,1,1,0
"22","2014/04/01 19:13",0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23","2014/04/01 19:18",0,1,1,1,1,1,1,1,1,0,0,0,42,0,6,1,1,1,1,1,1,1,1,1,1,2,1,2
"24","2014/04/01 19:23",0,1,1,1,1,1,1,1,1,0,0,0,74,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1
"25","2014/04/01 19:28",0,0,0,0,0,0,0,0,0,0,0,0,119,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2
"26","2014/04/01 19:33",0,0,0,0,0,0,0,0,0,0,0,0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
"27","2014/04/01 19:38",0,0,0,0,0,0,0,1,0,0,0,0,113,0,2,0,0,1,0,1,0,1,1,0,1,1,1,0
"28","2014/04/01 19:43",0,0,0,0,0,0,0,0,0,0,0,0,77,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"29","2014/04/01 19:48",0,2,3,3,2,3,2,2,2,0,0,0,173,0,3,3,2,3,3,3,3,3,3,3,3,3,3,0
"30","2014/04/01 19:53",0,2,3,2,2,3,3,3,2,0,0,0,89,0,4,2,2,3,3,3,3,3,3,3,2,3,3,0
"31","2014/04/01 19:58",0,1,1,1,1,1,1,1,1,0,0,0,88,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"32","2014/04/01 20:03",0,0,0,0,0,0,0,0,0,0,0,0,101,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","2014/04/01 20:08",0,0,0,0,0,0,0,0,0,0,0,0,60,0,1,1,1,0,0,1,1,0,1,1,1,1,1,0
"34","2014/04/01 20:13",0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","2014/04/01 20:18",0,2,1,1,1,1,1,1,1,0,0,0,31,0,1,1,1,1,1,2,2,1,2,1,1,2,1,0
