LDEV_D2CS_Trans_X486-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:F0:69 X"
"1","2014/04/01 17:28",2
"2","2014/04/01 17:33",4
"3","2014/04/01 17:38",13
"4","2014/04/01 17:43",21
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",14
"7","2014/04/01 17:58",14
"8","2014/04/01 18:03",7
"9","2014/04/01 18:08",13
"10","2014/04/01 18:13",11
"11","2014/04/01 18:18",3
"12","2014/04/01 18:23",4
"13","2014/04/01 18:28",30
"14","2014/04/01 18:33",22
"15","2014/04/01 18:38",8
"16","2014/04/01 18:43",16
"17","2014/04/01 18:48",45
"18","2014/04/01 18:53",9
"19","2014/04/01 18:58",5
"20","2014/04/01 19:03",4
"21","2014/04/01 19:08",6
"22","2014/04/01 19:13",11
"23","2014/04/01 19:18",6
"24","2014/04/01 19:23",4
"25","2014/04/01 19:28",31
"26","2014/04/01 19:33",16
"27","2014/04/01 19:38",42
"28","2014/04/01 19:43",6
"29","2014/04/01 19:48",95
"30","2014/04/01 19:53",42
"31","2014/04/01 19:58",1
"32","2014/04/01 20:03",4
"33","2014/04/01 20:08",2
"34","2014/04/01 20:13",2
"35","2014/04/01 20:18",12
"36","2014/04/01 20:23",5
"37","2014/04/01 20:28",15
"38","2014/04/01 20:33",0
"39","2014/04/01 20:38",2
"40","2014/04/01 20:43",3
"41","2014/04/01 20:48",2
"42","2014/04/01 20:53",3
"43","2014/04/01 20:58",5
"44","2014/04/01 21:03",7
"45","2014/04/01 21:08",3
"46","2014/04/01 21:13",10
"47","2014/04/01 21:18",10
"48","2014/04/01 21:23",2
"49","2014/04/01 21:28",4
"50","2014/04/01 21:33",4
"51","2014/04/01 21:38",6
"52","2014/04/01 21:43",8
"53","2014/04/01 21:48",7
"54","2014/04/01 21:53",8
"55","2014/04/01 21:58",4
"56","2014/04/01 22:03",4
"57","2014/04/01 22:08",4
"58","2014/04/01 22:13",11
"59","2014/04/01 22:18",15
"60","2014/04/01 22:23",8
"61","2014/04/01 22:28",7
"62","2014/04/01 22:33",6
"63","2014/04/01 22:38",1
"64","2014/04/01 22:43",4
"65","2014/04/01 22:48",2
"66","2014/04/01 22:53",2
"67","2014/04/01 22:58",14
"68","2014/04/01 23:03",6
"69","2014/04/01 23:08",6
"70","2014/04/01 23:13",7
"71","2014/04/01 23:18",5
"72","2014/04/01 23:23",21
"73","2014/04/01 23:28",2
"74","2014/04/01 23:33",68
"75","2014/04/01 23:38",10
"76","2014/04/01 23:43",29
"77","2014/04/01 23:48",18
"78","2014/04/01 23:53",12
"79","2014/04/01 23:58",11
"80","2014/04/02 00:03",39
"81","2014/04/02 00:08",46
"82","2014/04/02 00:13",31
"83","2014/04/02 00:18",38
"84","2014/04/02 00:23",30
"85","2014/04/02 00:28",19
"86","2014/04/02 00:33",20
"87","2014/04/02 00:38",9
"88","2014/04/02 00:43",12
"89","2014/04/02 00:48",38
"90","2014/04/02 00:53",41
"91","2014/04/02 00:58",37
"92","2014/04/02 01:03",14
"93","2014/04/02 01:08",5
"94","2014/04/02 01:13",13
"95","2014/04/02 01:18",16
"96","2014/04/02 01:23",21
