LDEV_IOPS_X272-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:0E X"
"1","2014/04/01 17:28",1
"2","2014/04/01 17:33",1
"3","2014/04/01 17:38",1
"4","2014/04/01 17:43",1
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",1
"7","2014/04/01 17:58",1
"8","2014/04/01 18:03",1
"9","2014/04/01 18:08",1
"10","2014/04/01 18:13",1
"11","2014/04/01 18:18",1
"12","2014/04/01 18:23",1
"13","2014/04/01 18:28",1
"14","2014/04/01 18:33",1
"15","2014/04/01 18:38",1
"16","2014/04/01 18:43",1
"17","2014/04/01 18:48",1
"18","2014/04/01 18:53",1
"19","2014/04/01 18:58",1
"20","2014/04/01 19:03",1
"21","2014/04/01 19:08",1
"22","2014/04/01 19:13",1
"23","2014/04/01 19:18",1
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",1
"26","2014/04/01 19:33",1
"27","2014/04/01 19:38",1
"28","2014/04/01 19:43",1
"29","2014/04/01 19:48",1
"30","2014/04/01 19:53",1
"31","2014/04/01 19:58",1
"32","2014/04/01 20:03",1
"33","2014/04/01 20:08",1
"34","2014/04/01 20:13",1
"35","2014/04/01 20:18",1
"36","2014/04/01 20:23",1
"37","2014/04/01 20:28",1
"38","2014/04/01 20:33",1
"39","2014/04/01 20:38",1
"40","2014/04/01 20:43",1
"41","2014/04/01 20:48",1
"42","2014/04/01 20:53",1
"43","2014/04/01 20:58",1
"44","2014/04/01 21:03",1
"45","2014/04/01 21:08",1
"46","2014/04/01 21:13",1
"47","2014/04/01 21:18",1
"48","2014/04/01 21:23",1
"49","2014/04/01 21:28",1
"50","2014/04/01 21:33",1
"51","2014/04/01 21:38",1
"52","2014/04/01 21:43",1
"53","2014/04/01 21:48",1
"54","2014/04/01 21:53",1
"55","2014/04/01 21:58",1
"56","2014/04/01 22:03",1
"57","2014/04/01 22:08",1
"58","2014/04/01 22:13",1
"59","2014/04/01 22:18",1
"60","2014/04/01 22:23",1
"61","2014/04/01 22:28",1
"62","2014/04/01 22:33",1
"63","2014/04/01 22:38",1
"64","2014/04/01 22:43",1
"65","2014/04/01 22:48",1
"66","2014/04/01 22:53",1
"67","2014/04/01 22:58",1
"68","2014/04/01 23:03",1
"69","2014/04/01 23:08",1
"70","2014/04/01 23:13",1
"71","2014/04/01 23:18",1
"72","2014/04/01 23:23",1
"73","2014/04/01 23:28",1
"74","2014/04/01 23:33",1
"75","2014/04/01 23:38",1
"76","2014/04/01 23:43",1
"77","2014/04/01 23:48",1
"78","2014/04/01 23:53",1
"79","2014/04/01 23:58",1
"80","2014/04/02 00:03",1
"81","2014/04/02 00:08",1
"82","2014/04/02 00:13",1
"83","2014/04/02 00:18",1
"84","2014/04/02 00:23",1
"85","2014/04/02 00:28",1
"86","2014/04/02 00:33",1
"87","2014/04/02 00:38",1
"88","2014/04/02 00:43",1
"89","2014/04/02 00:48",1
"90","2014/04/02 00:53",1
"91","2014/04/02 00:58",1
"92","2014/04/02 01:03",1
"93","2014/04/02 01:08",1
"94","2014/04/02 01:13",1
"95","2014/04/02 01:18",1
"96","2014/04/02 01:23",1
