LDEV_IOPS_X522-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:02:1C X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",1
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",1
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",0
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",1
"9","2014/04/01 18:08",2
"10","2014/04/01 18:13",0
"11","2014/04/01 18:18",1
"12","2014/04/01 18:23",1
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",0
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",1
"17","2014/04/01 18:48",1
"18","2014/04/01 18:53",4
"19","2014/04/01 18:58",0
"20","2014/04/01 19:03",0
"21","2014/04/01 19:08",1
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",1
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",0
"26","2014/04/01 19:33",6
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",0
"29","2014/04/01 19:48",4
"30","2014/04/01 19:53",3
"31","2014/04/01 19:58",1
"32","2014/04/01 20:03",1
"33","2014/04/01 20:08",2
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",1
"36","2014/04/01 20:23",1
"37","2014/04/01 20:28",1
"38","2014/04/01 20:33",2
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",0
"41","2014/04/01 20:48",0
"42","2014/04/01 20:53",2
"43","2014/04/01 20:58",2
"44","2014/04/01 21:03",0
"45","2014/04/01 21:08",2
"46","2014/04/01 21:13",0
"47","2014/04/01 21:18",1
"48","2014/04/01 21:23",2
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",2
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",1
"53","2014/04/01 21:48",0
"54","2014/04/01 21:53",1
"55","2014/04/01 21:58",1
"56","2014/04/01 22:03",12
"57","2014/04/01 22:08",21
"58","2014/04/01 22:13",27
"59","2014/04/01 22:18",22
"60","2014/04/01 22:23",23
"61","2014/04/01 22:28",20
"62","2014/04/01 22:33",37
"63","2014/04/01 22:38",24
"64","2014/04/01 22:43",32
"65","2014/04/01 22:48",55
"66","2014/04/01 22:53",63
"67","2014/04/01 22:58",58
"68","2014/04/01 23:03",45
"69","2014/04/01 23:08",50
"70","2014/04/01 23:13",46
"71","2014/04/01 23:18",51
"72","2014/04/01 23:23",51
"73","2014/04/01 23:28",56
"74","2014/04/01 23:33",42
"75","2014/04/01 23:38",50
"76","2014/04/01 23:43",34
"77","2014/04/01 23:48",42
"78","2014/04/01 23:53",41
"79","2014/04/01 23:58",35
"80","2014/04/02 00:03",19
"81","2014/04/02 00:08",15
"82","2014/04/02 00:13",18
"83","2014/04/02 00:18",13
"84","2014/04/02 00:23",13
"85","2014/04/02 00:28",13
"86","2014/04/02 00:33",6
"87","2014/04/02 00:38",4
"88","2014/04/02 00:43",2
"89","2014/04/02 00:48",7
"90","2014/04/02 00:53",10
"91","2014/04/02 00:58",14
"92","2014/04/02 01:03",10
"93","2014/04/02 01:08",7
"94","2014/04/02 01:13",6
"95","2014/04/02 01:18",6
"96","2014/04/02 01:23",4
