LDEV_IOPS_X581-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:08 X"
"1","2014/04/01 17:28",12
"2","2014/04/01 17:33",14
"3","2014/04/01 17:38",10
"4","2014/04/01 17:43",9
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",9
"7","2014/04/01 17:58",6
"8","2014/04/01 18:03",10
"9","2014/04/01 18:08",6
"10","2014/04/01 18:13",9
"11","2014/04/01 18:18",5
"12","2014/04/01 18:23",11
"13","2014/04/01 18:28",7
"14","2014/04/01 18:33",10
"15","2014/04/01 18:38",9
"16","2014/04/01 18:43",13
"17","2014/04/01 18:48",8
"18","2014/04/01 18:53",9
"19","2014/04/01 18:58",6
"20","2014/04/01 19:03",8
"21","2014/04/01 19:08",12
"22","2014/04/01 19:13",12
"23","2014/04/01 19:18",12
"24","2014/04/01 19:23",11
"25","2014/04/01 19:28",10
"26","2014/04/01 19:33",10
"27","2014/04/01 19:38",12
"28","2014/04/01 19:43",14
"29","2014/04/01 19:48",9
"30","2014/04/01 19:53",7
"31","2014/04/01 19:58",12
"32","2014/04/01 20:03",14
"33","2014/04/01 20:08",12
"34","2014/04/01 20:13",12
"35","2014/04/01 20:18",14
"36","2014/04/01 20:23",12
"37","2014/04/01 20:28",14
"38","2014/04/01 20:33",12
"39","2014/04/01 20:38",12
"40","2014/04/01 20:43",12
"41","2014/04/01 20:48",11
"42","2014/04/01 20:53",12
"43","2014/04/01 20:58",13
"44","2014/04/01 21:03",13
"45","2014/04/01 21:08",8
"46","2014/04/01 21:13",7
"47","2014/04/01 21:18",9
"48","2014/04/01 21:23",8
"49","2014/04/01 21:28",9
"50","2014/04/01 21:33",9
"51","2014/04/01 21:38",9
"52","2014/04/01 21:43",10
"53","2014/04/01 21:48",6
"54","2014/04/01 21:53",9
"55","2014/04/01 21:58",8
"56","2014/04/01 22:03",11
"57","2014/04/01 22:08",13
"58","2014/04/01 22:13",9
"59","2014/04/01 22:18",19
"60","2014/04/01 22:23",23
"61","2014/04/01 22:28",18
"62","2014/04/01 22:33",17
"63","2014/04/01 22:38",21
"64","2014/04/01 22:43",22
"65","2014/04/01 22:48",20
"66","2014/04/01 22:53",17
"67","2014/04/01 22:58",17
"68","2014/04/01 23:03",19
"69","2014/04/01 23:08",20
"70","2014/04/01 23:13",19
"71","2014/04/01 23:18",26
"72","2014/04/01 23:23",23
"73","2014/04/01 23:28",23
"74","2014/04/01 23:33",22
"75","2014/04/01 23:38",26
"76","2014/04/01 23:43",27
"77","2014/04/01 23:48",25
"78","2014/04/01 23:53",20
"79","2014/04/01 23:58",25
"80","2014/04/02 00:03",27
"81","2014/04/02 00:08",21
"82","2014/04/02 00:13",29
"83","2014/04/02 00:18",27
"84","2014/04/02 00:23",26
"85","2014/04/02 00:28",33
"86","2014/04/02 00:33",32
"87","2014/04/02 00:38",24
"88","2014/04/02 00:43",26
"89","2014/04/02 00:48",28
"90","2014/04/02 00:53",29
"91","2014/04/02 00:58",19
"92","2014/04/02 01:03",24
"93","2014/04/02 01:08",12
"94","2014/04/02 01:13",20
"95","2014/04/02 01:18",20
"96","2014/04/02 01:23",16
