LDEV_IOPS_X1027-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:07 X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",1
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",1
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",2
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",2
"9","2014/04/01 18:08",1
"10","2014/04/01 18:13",0
"11","2014/04/01 18:18",1
"12","2014/04/01 18:23",3
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",1
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",3
"17","2014/04/01 18:48",1
"18","2014/04/01 18:53",1
"19","2014/04/01 18:58",1
"20","2014/04/01 19:03",2
"21","2014/04/01 19:08",1
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",1
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",1
"26","2014/04/01 19:33",2
"27","2014/04/01 19:38",1
"28","2014/04/01 19:43",1
"29","2014/04/01 19:48",3
"30","2014/04/01 19:53",3
"31","2014/04/01 19:58",1
"32","2014/04/01 20:03",1
"33","2014/04/01 20:08",1
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",1
"36","2014/04/01 20:23",1
"37","2014/04/01 20:28",1
"38","2014/04/01 20:33",3
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",0
"41","2014/04/01 20:48",0
"42","2014/04/01 20:53",2
"43","2014/04/01 20:58",1
"44","2014/04/01 21:03",3
"45","2014/04/01 21:08",2
"46","2014/04/01 21:13",1
"47","2014/04/01 21:18",1
"48","2014/04/01 21:23",5
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",2
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",1
"53","2014/04/01 21:48",0
"54","2014/04/01 21:53",2
"55","2014/04/01 21:58",2
"56","2014/04/01 22:03",15
"57","2014/04/01 22:08",18
"58","2014/04/01 22:13",27
"59","2014/04/01 22:18",24
"60","2014/04/01 22:23",26
"61","2014/04/01 22:28",15
"62","2014/04/01 22:33",31
"63","2014/04/01 22:38",24
"64","2014/04/01 22:43",35
"65","2014/04/01 22:48",52
"66","2014/04/01 22:53",62
"67","2014/04/01 22:58",61
"68","2014/04/01 23:03",46
"69","2014/04/01 23:08",43
"70","2014/04/01 23:13",44
"71","2014/04/01 23:18",47
"72","2014/04/01 23:23",53
"73","2014/04/01 23:28",57
"74","2014/04/01 23:33",41
"75","2014/04/01 23:38",51
"76","2014/04/01 23:43",36
"77","2014/04/01 23:48",42
"78","2014/04/01 23:53",42
"79","2014/04/01 23:58",34
"80","2014/04/02 00:03",17
"81","2014/04/02 00:08",17
"82","2014/04/02 00:13",17
"83","2014/04/02 00:18",13
"84","2014/04/02 00:23",15
"85","2014/04/02 00:28",12
"86","2014/04/02 00:33",7
"87","2014/04/02 00:38",2
"88","2014/04/02 00:43",3
"89","2014/04/02 00:48",8
"90","2014/04/02 00:53",10
"91","2014/04/02 00:58",10
"92","2014/04/02 01:03",11
"93","2014/04/02 01:08",6
"94","2014/04/02 01:13",3
"95","2014/04/02 01:18",6
"96","2014/04/02 01:23",4
