LDEV_IOPS_X498-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:E9 X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",0
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",2
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",1
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",0
"9","2014/04/01 18:08",1
"10","2014/04/01 18:13",1
"11","2014/04/01 18:18",2
"12","2014/04/01 18:23",1
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",0
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",0
"17","2014/04/01 18:48",1
"18","2014/04/01 18:53",1
"19","2014/04/01 18:58",0
"20","2014/04/01 19:03",1
"21","2014/04/01 19:08",2
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",1
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",2
"26","2014/04/01 19:33",2
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",0
"29","2014/04/01 19:48",5
"30","2014/04/01 19:53",3
"31","2014/04/01 19:58",1
"32","2014/04/01 20:03",0
"33","2014/04/01 20:08",1
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",1
"36","2014/04/01 20:23",1
"37","2014/04/01 20:28",1
"38","2014/04/01 20:33",2
"39","2014/04/01 20:38",0
"40","2014/04/01 20:43",0
"41","2014/04/01 20:48",1
"42","2014/04/01 20:53",2
"43","2014/04/01 20:58",1
"44","2014/04/01 21:03",2
"45","2014/04/01 21:08",1
"46","2014/04/01 21:13",1
"47","2014/04/01 21:18",4
"48","2014/04/01 21:23",2
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",2
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",2
"53","2014/04/01 21:48",0
"54","2014/04/01 21:53",1
"55","2014/04/01 21:58",1
"56","2014/04/01 22:03",14
"57","2014/04/01 22:08",25
"58","2014/04/01 22:13",31
"59","2014/04/01 22:18",21
"60","2014/04/01 22:23",25
"61","2014/04/01 22:28",20
"62","2014/04/01 22:33",31
"63","2014/04/01 22:38",23
"64","2014/04/01 22:43",34
"65","2014/04/01 22:48",53
"66","2014/04/01 22:53",66
"67","2014/04/01 22:58",63
"68","2014/04/01 23:03",49
"69","2014/04/01 23:08",46
"70","2014/04/01 23:13",49
"71","2014/04/01 23:18",43
"72","2014/04/01 23:23",52
"73","2014/04/01 23:28",57
"74","2014/04/01 23:33",46
"75","2014/04/01 23:38",53
"76","2014/04/01 23:43",37
"77","2014/04/01 23:48",37
"78","2014/04/01 23:53",41
"79","2014/04/01 23:58",39
"80","2014/04/02 00:03",22
"81","2014/04/02 00:08",14
"82","2014/04/02 00:13",20
"83","2014/04/02 00:18",13
"84","2014/04/02 00:23",15
"85","2014/04/02 00:28",9
"86","2014/04/02 00:33",7
"87","2014/04/02 00:38",2
"88","2014/04/02 00:43",7
"89","2014/04/02 00:48",10
"90","2014/04/02 00:53",14
"91","2014/04/02 00:58",13
"92","2014/04/02 01:03",10
"93","2014/04/02 01:08",6
"94","2014/04/02 01:13",7
"95","2014/04/02 01:18",7
"96","2014/04/02 01:23",6
