LDEV_IOPS_X501-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:EC X"
"1","2014/04/01 17:28",0
"2","2014/04/01 17:33",0
"3","2014/04/01 17:38",0
"4","2014/04/01 17:43",1
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",1
"7","2014/04/01 17:58",0
"8","2014/04/01 18:03",0
"9","2014/04/01 18:08",1
"10","2014/04/01 18:13",0
"11","2014/04/01 18:18",1
"12","2014/04/01 18:23",1
"13","2014/04/01 18:28",0
"14","2014/04/01 18:33",0
"15","2014/04/01 18:38",0
"16","2014/04/01 18:43",0
"17","2014/04/01 18:48",1
"18","2014/04/01 18:53",1
"19","2014/04/01 18:58",0
"20","2014/04/01 19:03",0
"21","2014/04/01 19:08",1
"22","2014/04/01 19:13",0
"23","2014/04/01 19:18",1
"24","2014/04/01 19:23",1
"25","2014/04/01 19:28",0
"26","2014/04/01 19:33",8
"27","2014/04/01 19:38",0
"28","2014/04/01 19:43",1
"29","2014/04/01 19:48",4
"30","2014/04/01 19:53",5
"31","2014/04/01 19:58",1
"32","2014/04/01 20:03",1
"33","2014/04/01 20:08",1
"34","2014/04/01 20:13",0
"35","2014/04/01 20:18",2
"36","2014/04/01 20:23",1
"37","2014/04/01 20:28",1
"38","2014/04/01 20:33",2
"39","2014/04/01 20:38",1
"40","2014/04/01 20:43",0
"41","2014/04/01 20:48",0
"42","2014/04/01 20:53",2
"43","2014/04/01 20:58",1
"44","2014/04/01 21:03",0
"45","2014/04/01 21:08",2
"46","2014/04/01 21:13",0
"47","2014/04/01 21:18",2
"48","2014/04/01 21:23",2
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",1
"51","2014/04/01 21:38",0
"52","2014/04/01 21:43",1
"53","2014/04/01 21:48",1
"54","2014/04/01 21:53",1
"55","2014/04/01 21:58",1
"56","2014/04/01 22:03",16
"57","2014/04/01 22:08",16
"58","2014/04/01 22:13",23
"59","2014/04/01 22:18",19
"60","2014/04/01 22:23",28
"61","2014/04/01 22:28",18
"62","2014/04/01 22:33",27
"63","2014/04/01 22:38",21
"64","2014/04/01 22:43",32
"65","2014/04/01 22:48",48
"66","2014/04/01 22:53",66
"67","2014/04/01 22:58",50
"68","2014/04/01 23:03",44
"69","2014/04/01 23:08",43
"70","2014/04/01 23:13",38
"71","2014/04/01 23:18",44
"72","2014/04/01 23:23",56
"73","2014/04/01 23:28",58
"74","2014/04/01 23:33",41
"75","2014/04/01 23:38",48
"76","2014/04/01 23:43",39
"77","2014/04/01 23:48",39
"78","2014/04/01 23:53",40
"79","2014/04/01 23:58",33
"80","2014/04/02 00:03",21
"81","2014/04/02 00:08",15
"82","2014/04/02 00:13",17
"83","2014/04/02 00:18",14
"84","2014/04/02 00:23",13
"85","2014/04/02 00:28",15
"86","2014/04/02 00:33",8
"87","2014/04/02 00:38",2
"88","2014/04/02 00:43",4
"89","2014/04/02 00:48",9
"90","2014/04/02 00:53",11
"91","2014/04/02 00:58",9
"92","2014/04/02 01:03",13
"93","2014/04/02 01:08",6
"94","2014/04/02 01:13",5
"95","2014/04/02 01:18",6
"96","2014/04/02 01:23",6
