LDEV_IOPS_X671-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:6B X"
"1","2014/04/01 17:28",11
"2","2014/04/01 17:33",11
"3","2014/04/01 17:38",9
"4","2014/04/01 17:43",10
"5","2014/04/01 17:48",2
"6","2014/04/01 17:53",8
"7","2014/04/01 17:58",3
"8","2014/04/01 18:03",11
"9","2014/04/01 18:08",7
"10","2014/04/01 18:13",10
"11","2014/04/01 18:18",6
"12","2014/04/01 18:23",12
"13","2014/04/01 18:28",7
"14","2014/04/01 18:33",10
"15","2014/04/01 18:38",8
"16","2014/04/01 18:43",12
"17","2014/04/01 18:48",6
"18","2014/04/01 18:53",9
"19","2014/04/01 18:58",5
"20","2014/04/01 19:03",9
"21","2014/04/01 19:08",12
"22","2014/04/01 19:13",11
"23","2014/04/01 19:18",10
"24","2014/04/01 19:23",11
"25","2014/04/01 19:28",9
"26","2014/04/01 19:33",9
"27","2014/04/01 19:38",12
"28","2014/04/01 19:43",16
"29","2014/04/01 19:48",9
"30","2014/04/01 19:53",8
"31","2014/04/01 19:58",10
"32","2014/04/01 20:03",13
"33","2014/04/01 20:08",13
"34","2014/04/01 20:13",12
"35","2014/04/01 20:18",11
"36","2014/04/01 20:23",12
"37","2014/04/01 20:28",13
"38","2014/04/01 20:33",12
"39","2014/04/01 20:38",11
"40","2014/04/01 20:43",11
"41","2014/04/01 20:48",11
"42","2014/04/01 20:53",11
"43","2014/04/01 20:58",11
"44","2014/04/01 21:03",12
"45","2014/04/01 21:08",7
"46","2014/04/01 21:13",8
"47","2014/04/01 21:18",8
"48","2014/04/01 21:23",8
"49","2014/04/01 21:28",8
"50","2014/04/01 21:33",10
"51","2014/04/01 21:38",8
"52","2014/04/01 21:43",10
"53","2014/04/01 21:48",5
"54","2014/04/01 21:53",10
"55","2014/04/01 21:58",8
"56","2014/04/01 22:03",16
"57","2014/04/01 22:08",17
"58","2014/04/01 22:13",13
"59","2014/04/01 22:18",18
"60","2014/04/01 22:23",25
"61","2014/04/01 22:28",22
"62","2014/04/01 22:33",16
"63","2014/04/01 22:38",16
"64","2014/04/01 22:43",25
"65","2014/04/01 22:48",23
"66","2014/04/01 22:53",20
"67","2014/04/01 22:58",15
"68","2014/04/01 23:03",17
"69","2014/04/01 23:08",20
"70","2014/04/01 23:13",22
"71","2014/04/01 23:18",21
"72","2014/04/01 23:23",21
"73","2014/04/01 23:28",18
"74","2014/04/01 23:33",22
"75","2014/04/01 23:38",21
"76","2014/04/01 23:43",28
"77","2014/04/01 23:48",23
"78","2014/04/01 23:53",25
"79","2014/04/01 23:58",24
"80","2014/04/02 00:03",23
"81","2014/04/02 00:08",28
"82","2014/04/02 00:13",27
"83","2014/04/02 00:18",27
"84","2014/04/02 00:23",27
"85","2014/04/02 00:28",33
"86","2014/04/02 00:33",31
"87","2014/04/02 00:38",21
"88","2014/04/02 00:43",26
"89","2014/04/02 00:48",25
"90","2014/04/02 00:53",25
"91","2014/04/02 00:58",19
"92","2014/04/02 01:03",21
"93","2014/04/02 01:08",12
"94","2014/04/02 01:13",18
"95","2014/04/02 01:18",17
"96","2014/04/02 01:23",15
