LDEV_Seq_Read_IOPS_X585-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:0C:0C X"
"1","2014/04/01 17:28",5
"2","2014/04/01 17:33",4
"3","2014/04/01 17:38",3
"4","2014/04/01 17:43",3
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",3
"7","2014/04/01 17:58",1
"8","2014/04/01 18:03",3
"9","2014/04/01 18:08",2
"10","2014/04/01 18:13",3
"11","2014/04/01 18:18",1
"12","2014/04/01 18:23",3
"13","2014/04/01 18:28",2
"14","2014/04/01 18:33",3
"15","2014/04/01 18:38",3
"16","2014/04/01 18:43",4
"17","2014/04/01 18:48",2
"18","2014/04/01 18:53",3
"19","2014/04/01 18:58",1
"20","2014/04/01 19:03",2
"21","2014/04/01 19:08",3
"22","2014/04/01 19:13",5
"23","2014/04/01 19:18",6
"24","2014/04/01 19:23",4
"25","2014/04/01 19:28",5
"26","2014/04/01 19:33",4
"27","2014/04/01 19:38",5
"28","2014/04/01 19:43",3
"29","2014/04/01 19:48",3
"30","2014/04/01 19:53",3
"31","2014/04/01 19:58",3
"32","2014/04/01 20:03",4
"33","2014/04/01 20:08",3
"34","2014/04/01 20:13",4
"35","2014/04/01 20:18",4
"36","2014/04/01 20:23",5
"37","2014/04/01 20:28",4
"38","2014/04/01 20:33",4
"39","2014/04/01 20:38",4
"40","2014/04/01 20:43",4
"41","2014/04/01 20:48",3
"42","2014/04/01 20:53",4
"43","2014/04/01 20:58",4
"44","2014/04/01 21:03",4
"45","2014/04/01 21:08",1
"46","2014/04/01 21:13",2
"47","2014/04/01 21:18",3
"48","2014/04/01 21:23",3
"49","2014/04/01 21:28",2
"50","2014/04/01 21:33",2
"51","2014/04/01 21:38",3
"52","2014/04/01 21:43",3
"53","2014/04/01 21:48",2
"54","2014/04/01 21:53",3
"55","2014/04/01 21:58",3
"56","2014/04/01 22:03",6
"57","2014/04/01 22:08",5
"58","2014/04/01 22:13",3
"59","2014/04/01 22:18",7
"60","2014/04/01 22:23",14
"61","2014/04/01 22:28",9
"62","2014/04/01 22:33",7
"63","2014/04/01 22:38",9
"64","2014/04/01 22:43",11
"65","2014/04/01 22:48",13
"66","2014/04/01 22:53",10
"67","2014/04/01 22:58",9
"68","2014/04/01 23:03",8
"69","2014/04/01 23:08",9
"70","2014/04/01 23:13",10
"71","2014/04/01 23:18",8
"72","2014/04/01 23:23",11
"73","2014/04/01 23:28",9
"74","2014/04/01 23:33",9
"75","2014/04/01 23:38",11
"76","2014/04/01 23:43",8
"77","2014/04/01 23:48",14
"78","2014/04/01 23:53",13
"79","2014/04/01 23:58",11
"80","2014/04/02 00:03",12
"81","2014/04/02 00:08",9
"82","2014/04/02 00:13",11
"83","2014/04/02 00:18",13
"84","2014/04/02 00:23",13
"85","2014/04/02 00:28",15
"86","2014/04/02 00:33",16
"87","2014/04/02 00:38",11
"88","2014/04/02 00:43",10
"89","2014/04/02 00:48",15
"90","2014/04/02 00:53",10
"91","2014/04/02 00:58",9
"92","2014/04/02 01:03",9
"93","2014/04/02 01:08",5
"94","2014/04/02 01:13",7
"95","2014/04/02 01:18",8
"96","2014/04/02 01:23",8
