LDEV_Seq_Read_IOPS_X680-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:39 X"
"1","2014/04/01 17:28",7
"2","2014/04/01 17:33",6
"3","2014/04/01 17:38",5
"4","2014/04/01 17:43",5
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",5
"7","2014/04/01 17:58",2
"8","2014/04/01 18:03",5
"9","2014/04/01 18:08",3
"10","2014/04/01 18:13",5
"11","2014/04/01 18:18",3
"12","2014/04/01 18:23",6
"13","2014/04/01 18:28",3
"14","2014/04/01 18:33",4
"15","2014/04/01 18:38",5
"16","2014/04/01 18:43",6
"17","2014/04/01 18:48",4
"18","2014/04/01 18:53",5
"19","2014/04/01 18:58",3
"20","2014/04/01 19:03",4
"21","2014/04/01 19:08",5
"22","2014/04/01 19:13",7
"23","2014/04/01 19:18",8
"24","2014/04/01 19:23",5
"25","2014/04/01 19:28",6
"26","2014/04/01 19:33",6
"27","2014/04/01 19:38",6
"28","2014/04/01 19:43",4
"29","2014/04/01 19:48",3
"30","2014/04/01 19:53",4
"31","2014/04/01 19:58",6
"32","2014/04/01 20:03",6
"33","2014/04/01 20:08",6
"34","2014/04/01 20:13",6
"35","2014/04/01 20:18",7
"36","2014/04/01 20:23",7
"37","2014/04/01 20:28",6
"38","2014/04/01 20:33",6
"39","2014/04/01 20:38",7
"40","2014/04/01 20:43",7
"41","2014/04/01 20:48",6
"42","2014/04/01 20:53",7
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",6
"45","2014/04/01 21:08",2
"46","2014/04/01 21:13",4
"47","2014/04/01 21:18",5
"48","2014/04/01 21:23",4
"49","2014/04/01 21:28",4
"50","2014/04/01 21:33",3
"51","2014/04/01 21:38",5
"52","2014/04/01 21:43",5
"53","2014/04/01 21:48",3
"54","2014/04/01 21:53",5
"55","2014/04/01 21:58",4
"56","2014/04/01 22:03",7
"57","2014/04/01 22:08",6
"58","2014/04/01 22:13",4
"59","2014/04/01 22:18",11
"60","2014/04/01 22:23",15
"61","2014/04/01 22:28",11
"62","2014/04/01 22:33",9
"63","2014/04/01 22:38",10
"64","2014/04/01 22:43",16
"65","2014/04/01 22:48",18
"66","2014/04/01 22:53",10
"67","2014/04/01 22:58",10
"68","2014/04/01 23:03",10
"69","2014/04/01 23:08",9
"70","2014/04/01 23:13",11
"71","2014/04/01 23:18",8
"72","2014/04/01 23:23",10
"73","2014/04/01 23:28",9
"74","2014/04/01 23:33",10
"75","2014/04/01 23:38",11
"76","2014/04/01 23:43",14
"77","2014/04/01 23:48",13
"78","2014/04/01 23:53",10
"79","2014/04/01 23:58",13
"80","2014/04/02 00:03",12
"81","2014/04/02 00:08",14
"82","2014/04/02 00:13",13
"83","2014/04/02 00:18",14
"84","2014/04/02 00:23",15
"85","2014/04/02 00:28",18
"86","2014/04/02 00:33",21
"87","2014/04/02 00:38",14
"88","2014/04/02 00:43",13
"89","2014/04/02 00:48",14
"90","2014/04/02 00:53",13
"91","2014/04/02 00:58",12
"92","2014/04/02 01:03",10
"93","2014/04/02 01:08",6
"94","2014/04/02 01:13",10
"95","2014/04/02 01:18",10
"96","2014/04/02 01:23",10
