LDEV_Seq_Read_IOPS_X643-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:4A X"
"1","2014/04/01 17:28",5
"2","2014/04/01 17:33",4
"3","2014/04/01 17:38",4
"4","2014/04/01 17:43",3
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",3
"7","2014/04/01 17:58",2
"8","2014/04/01 18:03",4
"9","2014/04/01 18:08",2
"10","2014/04/01 18:13",4
"11","2014/04/01 18:18",2
"12","2014/04/01 18:23",4
"13","2014/04/01 18:28",2
"14","2014/04/01 18:33",3
"15","2014/04/01 18:38",4
"16","2014/04/01 18:43",5
"17","2014/04/01 18:48",3
"18","2014/04/01 18:53",4
"19","2014/04/01 18:58",2
"20","2014/04/01 19:03",3
"21","2014/04/01 19:08",4
"22","2014/04/01 19:13",5
"23","2014/04/01 19:18",4
"24","2014/04/01 19:23",4
"25","2014/04/01 19:28",5
"26","2014/04/01 19:33",5
"27","2014/04/01 19:38",5
"28","2014/04/01 19:43",3
"29","2014/04/01 19:48",4
"30","2014/04/01 19:53",3
"31","2014/04/01 19:58",4
"32","2014/04/01 20:03",5
"33","2014/04/01 20:08",4
"34","2014/04/01 20:13",5
"35","2014/04/01 20:18",5
"36","2014/04/01 20:23",5
"37","2014/04/01 20:28",5
"38","2014/04/01 20:33",5
"39","2014/04/01 20:38",5
"40","2014/04/01 20:43",6
"41","2014/04/01 20:48",4
"42","2014/04/01 20:53",5
"43","2014/04/01 20:58",5
"44","2014/04/01 21:03",5
"45","2014/04/01 21:08",1
"46","2014/04/01 21:13",3
"47","2014/04/01 21:18",3
"48","2014/04/01 21:23",3
"49","2014/04/01 21:28",3
"50","2014/04/01 21:33",3
"51","2014/04/01 21:38",3
"52","2014/04/01 21:43",4
"53","2014/04/01 21:48",2
"54","2014/04/01 21:53",4
"55","2014/04/01 21:58",3
"56","2014/04/01 22:03",6
"57","2014/04/01 22:08",6
"58","2014/04/01 22:13",6
"59","2014/04/01 22:18",9
"60","2014/04/01 22:23",15
"61","2014/04/01 22:28",10
"62","2014/04/01 22:33",7
"63","2014/04/01 22:38",9
"64","2014/04/01 22:43",16
"65","2014/04/01 22:48",17
"66","2014/04/01 22:53",11
"67","2014/04/01 22:58",10
"68","2014/04/01 23:03",7
"69","2014/04/01 23:08",8
"70","2014/04/01 23:13",10
"71","2014/04/01 23:18",8
"72","2014/04/01 23:23",11
"73","2014/04/01 23:28",8
"74","2014/04/01 23:33",9
"75","2014/04/01 23:38",10
"76","2014/04/01 23:43",11
"77","2014/04/01 23:48",15
"78","2014/04/01 23:53",13
"79","2014/04/01 23:58",11
"80","2014/04/02 00:03",15
"81","2014/04/02 00:08",9
"82","2014/04/02 00:13",14
"83","2014/04/02 00:18",14
"84","2014/04/02 00:23",13
"85","2014/04/02 00:28",16
"86","2014/04/02 00:33",16
"87","2014/04/02 00:38",13
"88","2014/04/02 00:43",11
"89","2014/04/02 00:48",15
"90","2014/04/02 00:53",10
"91","2014/04/02 00:58",9
"92","2014/04/02 01:03",8
"93","2014/04/02 01:08",6
"94","2014/04/02 01:13",7
"95","2014/04/02 01:18",9
"96","2014/04/02 01:23",8
