LDEV_Seq_Read_IOPS_X703-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:27 X"
"1","2014/04/01 17:28",6
"2","2014/04/01 17:33",6
"3","2014/04/01 17:38",5
"4","2014/04/01 17:43",4
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",5
"7","2014/04/01 17:58",1
"8","2014/04/01 18:03",5
"9","2014/04/01 18:08",2
"10","2014/04/01 18:13",4
"11","2014/04/01 18:18",2
"12","2014/04/01 18:23",5
"13","2014/04/01 18:28",3
"14","2014/04/01 18:33",4
"15","2014/04/01 18:38",4
"16","2014/04/01 18:43",6
"17","2014/04/01 18:48",3
"18","2014/04/01 18:53",5
"19","2014/04/01 18:58",2
"20","2014/04/01 19:03",4
"21","2014/04/01 19:08",4
"22","2014/04/01 19:13",7
"23","2014/04/01 19:18",8
"24","2014/04/01 19:23",5
"25","2014/04/01 19:28",6
"26","2014/04/01 19:33",6
"27","2014/04/01 19:38",6
"28","2014/04/01 19:43",4
"29","2014/04/01 19:48",3
"30","2014/04/01 19:53",4
"31","2014/04/01 19:58",4
"32","2014/04/01 20:03",5
"33","2014/04/01 20:08",5
"34","2014/04/01 20:13",6
"35","2014/04/01 20:18",6
"36","2014/04/01 20:23",6
"37","2014/04/01 20:28",5
"38","2014/04/01 20:33",6
"39","2014/04/01 20:38",6
"40","2014/04/01 20:43",6
"41","2014/04/01 20:48",5
"42","2014/04/01 20:53",6
"43","2014/04/01 20:58",7
"44","2014/04/01 21:03",5
"45","2014/04/01 21:08",2
"46","2014/04/01 21:13",3
"47","2014/04/01 21:18",4
"48","2014/04/01 21:23",3
"49","2014/04/01 21:28",4
"50","2014/04/01 21:33",3
"51","2014/04/01 21:38",4
"52","2014/04/01 21:43",5
"53","2014/04/01 21:48",3
"54","2014/04/01 21:53",5
"55","2014/04/01 21:58",3
"56","2014/04/01 22:03",6
"57","2014/04/01 22:08",5
"58","2014/04/01 22:13",5
"59","2014/04/01 22:18",9
"60","2014/04/01 22:23",14
"61","2014/04/01 22:28",10
"62","2014/04/01 22:33",10
"63","2014/04/01 22:38",8
"64","2014/04/01 22:43",12
"65","2014/04/01 22:48",14
"66","2014/04/01 22:53",7
"67","2014/04/01 22:58",10
"68","2014/04/01 23:03",7
"69","2014/04/01 23:08",10
"70","2014/04/01 23:13",9
"71","2014/04/01 23:18",10
"72","2014/04/01 23:23",9
"73","2014/04/01 23:28",10
"74","2014/04/01 23:33",10
"75","2014/04/01 23:38",11
"76","2014/04/01 23:43",11
"77","2014/04/01 23:48",13
"78","2014/04/01 23:53",13
"79","2014/04/01 23:58",12
"80","2014/04/02 00:03",12
"81","2014/04/02 00:08",12
"82","2014/04/02 00:13",15
"83","2014/04/02 00:18",11
"84","2014/04/02 00:23",14
"85","2014/04/02 00:28",17
"86","2014/04/02 00:33",14
"87","2014/04/02 00:38",14
"88","2014/04/02 00:43",11
"89","2014/04/02 00:48",14
"90","2014/04/02 00:53",11
"91","2014/04/02 00:58",10
"92","2014/04/02 01:03",11
"93","2014/04/02 01:08",7
"94","2014/04/02 01:13",8
"95","2014/04/02 01:18",11
"96","2014/04/02 01:23",9
