LDEV_Seq_Read_IOPS_X645-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:3C X"
"1","2014/04/01 17:28",5
"2","2014/04/01 17:33",5
"3","2014/04/01 17:38",4
"4","2014/04/01 17:43",3
"5","2014/04/01 17:48",1
"6","2014/04/01 17:53",3
"7","2014/04/01 17:58",1
"8","2014/04/01 18:03",3
"9","2014/04/01 18:08",2
"10","2014/04/01 18:13",4
"11","2014/04/01 18:18",2
"12","2014/04/01 18:23",4
"13","2014/04/01 18:28",2
"14","2014/04/01 18:33",4
"15","2014/04/01 18:38",3
"16","2014/04/01 18:43",5
"17","2014/04/01 18:48",2
"18","2014/04/01 18:53",3
"19","2014/04/01 18:58",2
"20","2014/04/01 19:03",3
"21","2014/04/01 19:08",4
"22","2014/04/01 19:13",5
"23","2014/04/01 19:18",7
"24","2014/04/01 19:23",4
"25","2014/04/01 19:28",5
"26","2014/04/01 19:33",5
"27","2014/04/01 19:38",4
"28","2014/04/01 19:43",3
"29","2014/04/01 19:48",3
"30","2014/04/01 19:53",3
"31","2014/04/01 19:58",4
"32","2014/04/01 20:03",4
"33","2014/04/01 20:08",5
"34","2014/04/01 20:13",4
"35","2014/04/01 20:18",4
"36","2014/04/01 20:23",5
"37","2014/04/01 20:28",5
"38","2014/04/01 20:33",5
"39","2014/04/01 20:38",5
"40","2014/04/01 20:43",5
"41","2014/04/01 20:48",4
"42","2014/04/01 20:53",4
"43","2014/04/01 20:58",5
"44","2014/04/01 21:03",4
"45","2014/04/01 21:08",1
"46","2014/04/01 21:13",3
"47","2014/04/01 21:18",3
"48","2014/04/01 21:23",3
"49","2014/04/01 21:28",3
"50","2014/04/01 21:33",4
"51","2014/04/01 21:38",3
"52","2014/04/01 21:43",4
"53","2014/04/01 21:48",2
"54","2014/04/01 21:53",3
"55","2014/04/01 21:58",3
"56","2014/04/01 22:03",6
"57","2014/04/01 22:08",5
"58","2014/04/01 22:13",5
"59","2014/04/01 22:18",9
"60","2014/04/01 22:23",14
"61","2014/04/01 22:28",12
"62","2014/04/01 22:33",9
"63","2014/04/01 22:38",7
"64","2014/04/01 22:43",12
"65","2014/04/01 22:48",15
"66","2014/04/01 22:53",7
"67","2014/04/01 22:58",9
"68","2014/04/01 23:03",7
"69","2014/04/01 23:08",8
"70","2014/04/01 23:13",7
"71","2014/04/01 23:18",12
"72","2014/04/01 23:23",10
"73","2014/04/01 23:28",7
"74","2014/04/01 23:33",12
"75","2014/04/01 23:38",10
"76","2014/04/01 23:43",11
"77","2014/04/01 23:48",13
"78","2014/04/01 23:53",13
"79","2014/04/01 23:58",9
"80","2014/04/02 00:03",15
"81","2014/04/02 00:08",13
"82","2014/04/02 00:13",13
"83","2014/04/02 00:18",11
"84","2014/04/02 00:23",14
"85","2014/04/02 00:28",15
"86","2014/04/02 00:33",18
"87","2014/04/02 00:38",9
"88","2014/04/02 00:43",9
"89","2014/04/02 00:48",13
"90","2014/04/02 00:53",9
"91","2014/04/02 00:58",10
"92","2014/04/02 01:03",7
"93","2014/04/02 01:08",7
"94","2014/04/02 01:13",8
"95","2014/04/02 01:18",10
"96","2014/04/02 01:23",10
