LDEV_Rnd_Read_Hit_X1029-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:09 X"
"1","2014/04/01 17:28",29
"2","2014/04/01 17:33",94
"3","2014/04/01 17:38",11
"4","2014/04/01 17:43",99
"5","2014/04/01 17:48",99
"6","2014/04/01 17:53",99
"7","2014/04/01 17:58",33
"8","2014/04/01 18:03",79
"9","2014/04/01 18:08",42
"10","2014/04/01 18:13",34
"11","2014/04/01 18:18",60
"12","2014/04/01 18:23",75
"13","2014/04/01 18:28",26
"14","2014/04/01 18:33",85
"15","2014/04/01 18:38",25
"16","2014/04/01 18:43",99
"17","2014/04/01 18:48",85
"18","2014/04/01 18:53",99
"19","2014/04/01 18:58",99
"20","2014/04/01 19:03",80
"21","2014/04/01 19:08",47
"22","2014/04/01 19:13",42
"23","2014/04/01 19:18",99
"24","2014/04/01 19:23",81
"25","2014/04/01 19:28",11
"26","2014/04/01 19:33",90
"27","2014/04/01 19:38",20
"28","2014/04/01 19:43",79
"29","2014/04/01 19:48",61
"30","2014/04/01 19:53",68
"31","2014/04/01 19:58",6
"32","2014/04/01 20:03",71
"33","2014/04/01 20:08",40
"34","2014/04/01 20:13",33
"35","2014/04/01 20:18",69
"36","2014/04/01 20:23",97
"37","2014/04/01 20:28",28
"38","2014/04/01 20:33",71
"39","2014/04/01 20:38",13
"40","2014/04/01 20:43",16
"41","2014/04/01 20:48",99
"42","2014/04/01 20:53",20
"43","2014/04/01 20:58",36
"44","2014/04/01 21:03",82
"45","2014/04/01 21:08",41
"46","2014/04/01 21:13",36
"47","2014/04/01 21:18",61
"48","2014/04/01 21:23",18
"49","2014/04/01 21:28",0
"50","2014/04/01 21:33",93
"51","2014/04/01 21:38",12
"52","2014/04/01 21:43",99
"53","2014/04/01 21:48",97
"54","2014/04/01 21:53",99
"55","2014/04/01 21:58",33
"56","2014/04/01 22:03",62
"57","2014/04/01 22:08",21
"58","2014/04/01 22:13",21
"59","2014/04/01 22:18",65
"60","2014/04/01 22:23",77
"61","2014/04/01 22:28",12
"62","2014/04/01 22:33",67
"63","2014/04/01 22:38",24
"64","2014/04/01 22:43",99
"65","2014/04/01 22:48",71
"66","2014/04/01 22:53",99
"67","2014/04/01 22:58",98
"68","2014/04/01 23:03",52
"69","2014/04/01 23:08",34
"70","2014/04/01 23:13",41
"71","2014/04/01 23:18",99
"72","2014/04/01 23:23",76
"73","2014/04/01 23:28",20
"74","2014/04/01 23:33",82
"75","2014/04/01 23:38",27
"76","2014/04/01 23:43",75
"77","2014/04/01 23:48",99
"78","2014/04/01 23:53",65
"79","2014/04/01 23:58",10
"80","2014/04/02 00:03",56
"81","2014/04/02 00:08",34
"82","2014/04/02 00:13",64
"83","2014/04/02 00:18",55
"84","2014/04/02 00:23",96
"85","2014/04/02 00:28",95
"86","2014/04/02 00:33",55
"87","2014/04/02 00:38",23
"88","2014/04/02 00:43",0
"89","2014/04/02 00:48",52
"90","2014/04/02 00:53",19
"91","2014/04/02 00:58",0
"92","2014/04/02 01:03",62
"93","2014/04/02 01:08",21
"94","2014/04/02 01:13",36
"95","2014/04/02 01:18",53
"96","2014/04/02 01:23",6
