LDEV_TransRate00.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:00:00(1-1)","00:00:01(1-1)","00:00:02(1-1)","00:00:03(1-1)","00:00:04(1-1)","00:00:05(1-1)","00:00:06(1-1)","00:00:07(1-1)","00:00:08(1-1)","00:00:09(1-1)","00:00:0A(1-1)","00:00:0B(1-1)","00:00:0C(1-1)","00:00:0D(1-1)","00:00:0E(1-1)","00:00:0F(11-15)","00:00:10(1-1)","00:00:11(1-1)","00:00:12(1-1)","00:00:13(1-1)","00:00:14X(X1018-1)","00:00:15(11-15)","00:00:16X(X4-1)","00:00:17X(X7-1)","00:00:18X(X202-1)","00:00:19X(X219-1)","00:00:1AX(X278-1)","00:00:1B(1-2)","00:00:1C(1-2)","00:00:1D(1-2)","00:00:1E(1-2)","00:00:1F(1-2)","00:00:21(1-2)","00:00:22(1-2)","00:00:23(1-2)","00:00:24(1-2)","00:00:25(1-2)","00:00:26(1-2)","00:00:27(1-2)","00:00:2E(1-3)","00:00:2F(1-3)","00:00:32(1-3)","00:00:33(1-3)","00:00:37(1-3)","00:00:38(1-3)","00:00:39(1-3)","00:00:3A(1-3)","00:00:3B(1-3)","00:00:3E(1-4)","00:00:47(1-4)","00:00:48(1-4)","00:00:49(1-4)","00:00:4A(1-4)","00:00:4B(1-4)","00:00:4C(1-4)","00:00:4D(1-4)","00:00:4E(1-4)","00:00:4F(1-4)","00:00:5C(1-5)","00:00:72(1-6)","00:00:73(1-6)","00:00:D3(1-11)","00:00:D4(1-11)","00:00:D5(1-11)","00:00:DD(1-12)","00:00:DF(1-12)","00:00:E0(1-12)","00:00:E6(1-12)","00:00:E7(1-12)","00:00:E8(1-12)","00:00:E9(1-12)","00:00:EA(1-12)","00:00:EB(1-12)","00:00:EC(1-12)","00:00:ED(1-12)","00:00:EE(1-12)","00:00:EF(1-12)","00:00:F2(1-13)","00:00:F3(1-13)","00:00:F9(1-13)","00:00:FA(1-13)","00:00:FB(1-13)","00:00:FC(1-13)","00:00:FD(1-13)","00:00:FE(1-13)","00:00:FF(1-13)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,7,0,1,5,0,0,0,50,20,0
"8","2014/04/01 18:03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,110,11,0,0,2,0,0,0,52,22,0
"9","2014/04/01 18:08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,6,0,7,2,0,0,0,52,21,0
"10","2014/04/01 18:13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,9,0,0,0,0,0,0,51,23,0
