LDEV_TransRate20.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:20:01X(X403-1)","00:20:02X(X409-1)","00:20:03X(X49-1)","00:20:04X(X57-1)","00:20:05X(X62-1)","00:20:06X(X64-1)","00:20:07X(X596-1)","00:20:08X(X608-1)","00:20:09(3-1)","00:20:0A(3-2)","00:20:0BX(X19-1)","00:20:0CX(X1033-1)","00:20:0DX(X277-1)","00:20:10X(X333-1)","00:20:11X(X384-1)","00:20:12X(X385-1)","00:20:13X(X389-1)","00:20:14X(X390-1)","00:20:15(1-11)","00:20:16(1-12)","00:20:17(1-12)","00:20:18(1-13)","00:20:19(1-13)","00:20:1A(1-14)","00:20:1B(1-14)","00:20:1C(1-15)","00:20:1D(1-15)","00:20:1E(3-1)","00:20:1F(3-9)","00:20:20(3-9)","00:20:21(3-9)","00:20:22(3-9)","00:20:23(3-9)","00:20:24(3-9)","00:20:25(3-9)","00:20:26(3-9)","00:20:27(3-9)","00:20:28(3-9)","00:20:29(3-6)","00:20:2A(3-7)","00:20:2B(3-7)","00:20:2C(3-8)","00:20:2D(3-8)","00:20:2E(3-9)","00:20:2F(3-9)","00:20:30(1-1)","00:20:31(1-1)","00:20:32(3-11)","00:20:33(3-11)","00:20:34X(X28-1)","00:20:35X(X35-1)","00:20:36X(X36-1)","00:20:37X(X56-1)","00:20:38X(X776-1)","00:20:39X(X58-1)","00:20:3AX(X65-1)","00:20:3BX(X208-1)","00:20:3CX(X306-1)","00:20:3DX(X331-1)","00:20:3EX(X332-1)","00:20:42X(X37-1)","00:20:43X(X38-1)","00:20:44X(X39-1)","00:20:45X(X40-1)","00:20:46X(X41-1)","00:20:48X(X194-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",25,52,0,0,0,0,0,0,0,0,0,0,0,13,14,34,55,37,291,84,28,1,0,23,1,0,0,0,287,100,2,1,26,3,0,0,0,0,0,0,33,0,2,0,2,0,0,0,0,154,727,1427,187,0,772,393,514,508,510,509,0,0,0,0,0,3
"8","2014/04/01 18:03",33,59,0,0,0,0,0,0,0,0,0,0,0,58,93,74,69,84,284,76,28,1,0,18,1,0,0,0,297,97,3,3,24,3,0,0,0,0,0,0,35,1,2,1,3,0,0,0,0,167,717,1701,183,0,846,372,389,385,382,385,0,0,0,0,0,2
"9","2014/04/01 18:08",34,47,0,0,0,0,0,0,0,0,0,0,0,19,22,44,22,47,291,82,28,1,0,12,1,0,0,0,276,109,3,4,21,2,0,0,0,0,0,0,36,0,1,0,2,0,0,0,0,322,908,1884,325,0,947,913,940,931,930,928,0,0,0,0,0,3
"10","2014/04/01 18:13",23,56,0,0,0,0,0,0,0,0,0,0,0,57,59,107,89,84,297,80,30,1,0,18,1,0,0,0,288,98,2,1,22,2,0,0,0,0,0,0,34,0,2,0,3,0,0,0,0,193,696,1829,219,0,720,589,719,704,704,713,0,0,0,0,0,2
