LDEV_Read_Hit_X288-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:16 X"
"1","2014/04/01 17:28",99
"2","2014/04/01 17:33",98
"3","2014/04/01 17:38",98
"4","2014/04/01 17:43",98
"5","2014/04/01 17:48",92
"6","2014/04/01 17:53",94
"7","2014/04/01 17:58",97
"8","2014/04/01 18:03",98
"9","2014/04/01 18:08",99
"10","2014/04/01 18:13",97
"11","2014/04/01 18:18",90
"12","2014/04/01 18:23",92
"13","2014/04/01 18:28",99
"14","2014/04/01 18:33",98
"15","2014/04/01 18:38",99
"16","2014/04/01 18:43",98
"17","2014/04/01 18:48",93
"18","2014/04/01 18:53",91
"19","2014/04/01 18:58",97
"20","2014/04/01 19:03",98
"21","2014/04/01 19:08",98
"22","2014/04/01 19:13",98
"23","2014/04/01 19:18",91
"24","2014/04/01 19:23",92
"25","2014/04/01 19:28",98
"26","2014/04/01 19:33",98
"27","2014/04/01 19:38",94
"28","2014/04/01 19:43",96
"29","2014/04/01 19:48",82
"30","2014/04/01 19:53",85
"31","2014/04/01 19:58",91
"32","2014/04/01 20:03",98
"33","2014/04/01 20:08",98
"34","2014/04/01 20:13",98
"35","2014/04/01 20:18",89
"36","2014/04/01 20:23",91
"37","2014/04/01 20:28",92
"38","2014/04/01 20:33",88
"39","2014/04/01 20:38",94
"40","2014/04/01 20:43",99
"41","2014/04/01 20:48",95
"42","2014/04/01 20:53",83
"43","2014/04/01 20:58",91
"44","2014/04/01 21:03",98
"45","2014/04/01 21:08",92
"46","2014/04/01 21:13",94
"47","2014/04/01 21:18",88
"48","2014/04/01 21:23",83
"49","2014/04/01 21:28",98
"50","2014/04/01 21:33",92
"51","2014/04/01 21:38",96
"52","2014/04/01 21:43",98
"53","2014/04/01 21:48",97
"54","2014/04/01 21:53",93
"55","2014/04/01 21:58",91
"56","2014/04/01 22:03",88
"57","2014/04/01 22:08",87
"58","2014/04/01 22:13",89
"59","2014/04/01 22:18",85
"60","2014/04/01 22:23",87
"61","2014/04/01 22:28",89
"62","2014/04/01 22:33",91
"63","2014/04/01 22:38",90
"64","2014/04/01 22:43",93
"65","2014/04/01 22:48",94
"66","2014/04/01 22:53",93
"67","2014/04/01 22:58",93
"68","2014/04/01 23:03",86
"69","2014/04/01 23:08",89
"70","2014/04/01 23:13",87
"71","2014/04/01 23:18",90
"72","2014/04/01 23:23",93
"73","2014/04/01 23:28",93
"74","2014/04/01 23:33",95
"75","2014/04/01 23:38",96
"76","2014/04/01 23:43",95
"77","2014/04/01 23:48",95
"78","2014/04/01 23:53",94
"79","2014/04/01 23:58",93
"80","2014/04/02 00:03",94
"81","2014/04/02 00:08",95
"82","2014/04/02 00:13",91
"83","2014/04/02 00:18",93
"84","2014/04/02 00:23",91
"85","2014/04/02 00:28",92
"86","2014/04/02 00:33",97
"87","2014/04/02 00:38",98
"88","2014/04/02 00:43",98
"89","2014/04/02 00:48",97
"90","2014/04/02 00:53",94
"91","2014/04/02 00:58",92
"92","2014/04/02 01:03",93
"93","2014/04/02 01:08",96
"94","2014/04/02 01:13",91
"95","2014/04/02 01:18",86
"96","2014/04/02 01:23",84
