LDEV_Read_Hit_X294-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:50:1B X"
"1","2014/04/01 17:28",97
"2","2014/04/01 17:33",97
"3","2014/04/01 17:38",97
"4","2014/04/01 17:43",96
"5","2014/04/01 17:48",90
"6","2014/04/01 17:53",90
"7","2014/04/01 17:58",93
"8","2014/04/01 18:03",98
"9","2014/04/01 18:08",98
"10","2014/04/01 18:13",96
"11","2014/04/01 18:18",74
"12","2014/04/01 18:23",84
"13","2014/04/01 18:28",98
"14","2014/04/01 18:33",97
"15","2014/04/01 18:38",98
"16","2014/04/01 18:43",98
"17","2014/04/01 18:48",83
"18","2014/04/01 18:53",82
"19","2014/04/01 18:58",91
"20","2014/04/01 19:03",98
"21","2014/04/01 19:08",98
"22","2014/04/01 19:13",94
"23","2014/04/01 19:18",76
"24","2014/04/01 19:23",83
"25","2014/04/01 19:28",97
"26","2014/04/01 19:33",96
"27","2014/04/01 19:38",86
"28","2014/04/01 19:43",89
"29","2014/04/01 19:48",69
"30","2014/04/01 19:53",70
"31","2014/04/01 19:58",77
"32","2014/04/01 20:03",97
"33","2014/04/01 20:08",95
"34","2014/04/01 20:13",97
"35","2014/04/01 20:18",77
"36","2014/04/01 20:23",82
"37","2014/04/01 20:28",80
"38","2014/04/01 20:33",72
"39","2014/04/01 20:38",86
"40","2014/04/01 20:43",98
"41","2014/04/01 20:48",96
"42","2014/04/01 20:53",69
"43","2014/04/01 20:58",84
"44","2014/04/01 21:03",98
"45","2014/04/01 21:08",82
"46","2014/04/01 21:13",86
"47","2014/04/01 21:18",73
"48","2014/04/01 21:23",72
"49","2014/04/01 21:28",97
"50","2014/04/01 21:33",81
"51","2014/04/01 21:38",91
"52","2014/04/01 21:43",96
"53","2014/04/01 21:48",94
"54","2014/04/01 21:53",89
"55","2014/04/01 21:58",80
"56","2014/04/01 22:03",83
"57","2014/04/01 22:08",83
"58","2014/04/01 22:13",83
"59","2014/04/01 22:18",82
"60","2014/04/01 22:23",82
"61","2014/04/01 22:28",85
"62","2014/04/01 22:33",89
"63","2014/04/01 22:38",87
"64","2014/04/01 22:43",93
"65","2014/04/01 22:48",94
"66","2014/04/01 22:53",92
"67","2014/04/01 22:58",91
"68","2014/04/01 23:03",85
"69","2014/04/01 23:08",86
"70","2014/04/01 23:13",86
"71","2014/04/01 23:18",87
"72","2014/04/01 23:23",91
"73","2014/04/01 23:28",91
"74","2014/04/01 23:33",94
"75","2014/04/01 23:38",95
"76","2014/04/01 23:43",93
"77","2014/04/01 23:48",95
"78","2014/04/01 23:53",92
"79","2014/04/01 23:58",90
"80","2014/04/02 00:03",93
"81","2014/04/02 00:08",91
"82","2014/04/02 00:13",90
"83","2014/04/02 00:18",88
"84","2014/04/02 00:23",86
"85","2014/04/02 00:28",90
"86","2014/04/02 00:33",96
"87","2014/04/02 00:38",96
"88","2014/04/02 00:43",96
"89","2014/04/02 00:48",96
"90","2014/04/02 00:53",90
"91","2014/04/02 00:58",88
"92","2014/04/02 01:03",92
"93","2014/04/02 01:08",95
"94","2014/04/02 01:13",84
"95","2014/04/02 01:18",73
"96","2014/04/02 01:23",67
