LDEV_Read_Hit_X726-1.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:C8:10 X"
"1","2014/04/01 17:28",98
"2","2014/04/01 17:33",98
"3","2014/04/01 17:38",98
"4","2014/04/01 17:43",98
"5","2014/04/01 17:48",98
"6","2014/04/01 17:53",98
"7","2014/04/01 17:58",99
"8","2014/04/01 18:03",98
"9","2014/04/01 18:08",99
"10","2014/04/01 18:13",98
"11","2014/04/01 18:18",98
"12","2014/04/01 18:23",98
"13","2014/04/01 18:28",98
"14","2014/04/01 18:33",98
"15","2014/04/01 18:38",98
"16","2014/04/01 18:43",98
"17","2014/04/01 18:48",98
"18","2014/04/01 18:53",98
"19","2014/04/01 18:58",98
"20","2014/04/01 19:03",98
"21","2014/04/01 19:08",97
"22","2014/04/01 19:13",98
"23","2014/04/01 19:18",98
"24","2014/04/01 19:23",98
"25","2014/04/01 19:28",98
"26","2014/04/01 19:33",97
"27","2014/04/01 19:38",97
"28","2014/04/01 19:43",94
"29","2014/04/01 19:48",95
"30","2014/04/01 19:53",95
"31","2014/04/01 19:58",97
"32","2014/04/01 20:03",97
"33","2014/04/01 20:08",98
"34","2014/04/01 20:13",98
"35","2014/04/01 20:18",99
"36","2014/04/01 20:23",98
"37","2014/04/01 20:28",98
"38","2014/04/01 20:33",98
"39","2014/04/01 20:38",99
"40","2014/04/01 20:43",98
"41","2014/04/01 20:48",99
"42","2014/04/01 20:53",98
"43","2014/04/01 20:58",98
"44","2014/04/01 21:03",99
"45","2014/04/01 21:08",97
"46","2014/04/01 21:13",98
"47","2014/04/01 21:18",97
"48","2014/04/01 21:23",97
"49","2014/04/01 21:28",98
"50","2014/04/01 21:33",97
"51","2014/04/01 21:38",97
"52","2014/04/01 21:43",97
"53","2014/04/01 21:48",97
"54","2014/04/01 21:53",98
"55","2014/04/01 21:58",96
"56","2014/04/01 22:03",95
"57","2014/04/01 22:08",95
"58","2014/04/01 22:13",96
"59","2014/04/01 22:18",96
"60","2014/04/01 22:23",95
"61","2014/04/01 22:28",95
"62","2014/04/01 22:33",94
"63","2014/04/01 22:38",94
"64","2014/04/01 22:43",95
"65","2014/04/01 22:48",94
"66","2014/04/01 22:53",94
"67","2014/04/01 22:58",94
"68","2014/04/01 23:03",94
"69","2014/04/01 23:08",94
"70","2014/04/01 23:13",95
"71","2014/04/01 23:18",94
"72","2014/04/01 23:23",95
"73","2014/04/01 23:28",96
"74","2014/04/01 23:33",96
"75","2014/04/01 23:38",96
"76","2014/04/01 23:43",96
"77","2014/04/01 23:48",95
"78","2014/04/01 23:53",96
"79","2014/04/01 23:58",97
"80","2014/04/02 00:03",96
"81","2014/04/02 00:08",96
"82","2014/04/02 00:13",96
"83","2014/04/02 00:18",97
"84","2014/04/02 00:23",97
"85","2014/04/02 00:28",97
"86","2014/04/02 00:33",97
"87","2014/04/02 00:38",97
"88","2014/04/02 00:43",96
"89","2014/04/02 00:48",97
"90","2014/04/02 00:53",96
"91","2014/04/02 00:58",97
"92","2014/04/02 01:03",96
"93","2014/04/02 01:08",95
"94","2014/04/02 01:13",96
"95","2014/04/02 01:18",96
"96","2014/04/02 01:23",97
