LDEV_Rnd_Read_Hit01.csv
Serial number : xxxxx(RAID600)
From : 2014/04/01 17:23
To   : 2014/04/02 01:23
sampling rate : 5

"No.","time","00:01:00(1-13)","00:01:01(1-13)","00:01:02(1-13)","00:01:03(1-13)","00:01:04X(X279-1)","00:01:0B(1-14)","00:01:0C(1-14)","00:01:0D(1-14)","00:01:0E(1-14)","00:01:0F(1-14)","00:01:10(1-14)","00:01:11(1-14)","00:01:12(1-14)","00:01:13(1-14)","00:01:14(1-14)","00:01:15(1-14)","00:01:16X(X46-1)","00:01:4F(1-1)","00:01:50(1-1)","00:01:51(1-1)","00:01:52(1-1)","00:01:53(1-1)","00:01:54(1-1)","00:01:55(1-1)","00:01:56(1-1)","00:01:59(1-1)","00:01:5A(1-1)","00:01:5B(1-1)","00:01:5C(1-1)","00:01:C5X(X487-1)","00:01:D3X(X488-1)","00:01:D7X(X489-1)","00:01:DBX(X490-1)","00:01:DDX(X552-1)","00:01:DEX(X553-1)","00:01:DFX(X491-1)","00:01:E1X(X492-1)","00:01:E4X(X493-1)","00:01:E5X(X494-1)","00:01:E6X(X495-1)","00:01:E7X(X496-1)","00:01:E8X(X497-1)","00:01:E9X(X498-1)","00:01:EAX(X499-1)","00:01:EBX(X500-1)","00:01:ECX(X501-1)","00:01:EDX(X502-1)","00:01:EEX(X503-1)","00:01:EFX(X504-1)","00:01:F0X(X505-1)","00:01:F1X(X506-1)","00:01:F2X(X507-1)","00:01:F3X(X508-1)"
"1","2014/04/01 17:28",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"2","2014/04/01 17:33",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"3","2014/04/01 17:38",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"4","2014/04/01 17:43",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"5","2014/04/01 17:48",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"6","2014/04/01 17:53",-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4
"7","2014/04/01 17:58",0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,57,0,0,81,90,36,25,53,35,46,39,95,51,39,46,41,52,47,50,19,32
"8","2014/04/01 18:03",0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,92,0,0,0,0,0,0,0,91,82,0,0,90,96,65,53,76,63,89,74,96,71,66,78,83,58,74,83,48,61
"9","2014/04/01 18:08",60,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,46,0,0,93,97,60,15,68,64,65,38,98,71,39,52,66,34,74,73,34,62
"10","2014/04/01 18:13",0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,52,0,0,73,93,32,25,40,61,53,44,90,43,35,36,36,46,58,43,30,31
